XLS row,Item #,Designator / assembly,Original MPN,PCBWay note (verbatim),Disposition,Five-board requirement,Design comparison,Action,Draft Customer Reply (not sent),Evidence
3,1,BR3,GBPC3510W-E4/51,This part is in short supply. Please confirm ASAP.,Confirm exact part; request stock allocation,5 pieces,"Native BR3 PCB and schematic specify GBPC3510W-E4/51. The wire-lead package, metal base and separate 6223BG heatsink are part of the design.","Retain GBPC3510W-E4/51, 1 per board / 5 total. Ask PCBWay to allocate the quoted stock and confirm delivery. Do not change to a terminal-lug GBPC package.","Please retain Vishay GBPC3510W-E4/51: 1 per board, 5 pieces for this order. Please confirm allocation and delivery. The W wire-lead package is required; its 6223BG heatsink is purchased separately in item 100.",output/release-candidate/bom/purchase-bom.csv; power_supply.kicad_sch; wpc_power_driver_cost.kicad_pcb; docs/ASSEMBLY_AND_FIRST_ARTICLE.md
13,11,D101 D102 D103 D104,STPS20M100ST,"The quoted part number is [STPS20M100ST], not [577202B00000G] as specified in description; Reference designator [D101,D102,D103,D104] is duplicated in other lines,pls confirm.",Confirm both separate purchases,20 diodes; 20 matching heatsinks in item 101,D101-D104 are four STPS20M100ST diodes. Each native footprint includes a separate Boyd 5772 heatsink model and an M3x8 hardware model. The physical diode leads are A-K-A; PCB pad numbers are 2-1-2.,"Keep 4 STPS20M100ST diodes AND 4 Boyd 577202B00000G heatsinks per board. The repeated diode references identify the heatsink attachment sites. Label the mechanical line HS_D101 through HS_D104 in the procurement worksheet, with the attachment mapping retained. Keep all four live-cathode heatsinks separate.","STPS20M100ST is correct for D101-D104: 4 diodes per board, 20 total. 577202B00000G is the separate heatsink in item 101: 4 per board, 20 total. Both lines are required. The shared references identify the attachment sites, not duplicate diodes; item 101 may be labelled HS_D101, HS_D102, HS_D103, HS_D104. Fit one separate heatsink to each diode, using item 102 screws and item 103 nuts. Follow the A-K-A footprint and live-cathode heatsink assembly instructions.",output/release-candidate/bom/purchase-bom.csv; power_supply.kicad_sch; wpc_power_driver_cost.kicad_pcb; docs/ASSEMBLY_AND_FIRST_ARTICLE.md
16,14,F111 F113 F106 F107 F108 F109 F110,0239005.MXP,This part is in short supply. Please confirm ASAP.,Confirm exact part; request stock allocation,35 fuses,"F106-F110, F111 and F113 all specify Littelfuse 0239005.MXP, 5 A Slo-Blo, in the native PCB and schematic. Seven fuses per board is correct.",Retain 0239005.MXP and request allocation of 35 pieces. Keep the specified 239-series time-delay characteristic and 5x20 mm size; a fast-acting 5 A fuse is not an equivalent.,"Please retain Littelfuse 0239005.MXP, 5 A Slo-Blo 5x20 mm: 7 per board, 35 total, for F106-F110, F111 and F113. Please confirm allocation and delivery. No fuse-family or speed substitution.",output/release-candidate/bom/purchase-bom.csv; power_supply.kicad_sch; gi_triacs.kicad_sch; docs/ASSEMBLY_NOTES.md
17,15,F112,0239007.MXP,"Only 20pcs total in stock, please confirm ASAP.",Confirm exact part and required quantity,5 fuses,"F112 specifies 0239007.MXP, 7 A Slo-Blo, one per board. PCBWay reports 20 pieces in stock; the five-board build requires five before any separately agreed spares.",Retain the exact part and request allocation of 5 pieces. The reported stock is sufficient for this build; do not buy all 20 solely because they are available.,"Please retain Littelfuse 0239007.MXP: 1 per board, 5 total. Your reported 20-piece stock covers the five-board requirement; please allocate 5 and confirm delivery. Retain the 7 A Slo-Blo 5x20 mm specification.",output/release-candidate/bom/purchase-bom.csv; power_supply.kicad_sch; docs/ASSEMBLY_NOTES.md
60,58,U9,"74HCT240D,653",The part we can get here was made in the year of 2023.,Accept 2023 date code subject to storage and traceability,5 ICs,"U9 requires 74HCT240D,653, the HCT inverting buffer in wide SO20, matching the native PCB. As of 2026-09-10, 2023 stock is within four years. Nexperia’s 2026 letter states up to 48 months shelf life under specified storage and soldering conditions; its two-year shipment limit is a separate manufacturer shipping policy.","Accept genuine, unused 2023-date-code stock if PCBWay confirms traceable sourcing, proper storage, intact leads and suitable solderability. Request the actual date/lot label. If storage or condition cannot be established, source newer stock of the same MPN. No blanket age-based bake instruction is needed.","2023 date code is acceptable for the five U9 devices provided they are genuine, unused Nexperia 74HCT240D,653, traceably sourced and properly stored, with sound leads and solderability. Please confirm these conditions and provide the lot/date label. Use the wide SO20 HCT part specified in the BOM. If the storage history or condition cannot be established, please quote newer stock of the same MPN.",cpu_interface.kicad_sch; wpc_power_driver_cost.kicad_pcb; https://www.nexperia.com/dam/jcr:fd376cfd-eac6-4325-87b3-944530721a58/Product%20Shelf%20Life%20Guarantee%202026.pdf
81,79,U19,"TBD62083AFWG,EL","The quoted part number is [TBD62083AFWG,EL], not [ULN2803] as specified in description",Confirm Toshiba DMOS part,5 ICs,"The native U19 PCB and schematic explicitly specify TBD62083AFWG,EL in SOIC-18W. ULN2803 appears only as a pin-compatibility comparison in the description; it is not the selected part.","Retain TBD62083AFWG,EL. Remove the ULN2803 comparison from the procurement description to eliminate ambiguity. Do not substitute a Darlington ULN2803.","Toshiba TBD62083AFWG,EL is correct: 1 per board, 5 total. Please use this exact DMOS driver. ULN2803 was only a pin-compatibility comment and is not a requested component or an approved substitute. Please remove that comparison from the procurement description.",lamp_columns.kicad_sch; wpc_power_driver_cost.kicad_pcb; output/release-candidate/bom/purchase-bom.csv
89,87,F101 F102,3517,There is a discrepancy between the quantity of reference designators listed [2] and the specified quantity [4]. Please confirm.,Confirm four individual clips per board,20 clips,F101 and F102 each have four solder holes accommodating two individual two-pin Keystone 3517 clips. The assembly instructions require clips at both locations with no fuse cartridges fitted.,"Keep quantity 4 per board / 20 total: 2 clips at F101 and 2 at F102. Leave both fuse positions empty of cartridges. Optional procurement identifiers: F101_CLIP1, F101_CLIP2, F102_CLIP1, F102_CLIP2.","Quantity 4 is correct: each of the two fuse positions F101 and F102 uses two individual Keystone 3517 clips. Supply 4 clips per board, 20 total. Fit the clips and leave F101/F102 without fuse cartridges. Each 3517 is one clip, not a complete two-clip holder.",wpc_power_driver_cost.kicad_pcb; docs/ASSEMBLY_AND_FIRST_ARTICLE.md; docs/ASSEMBLY_QUOTE_COUNTS.md
100,98,F103-F116 clips,3517,There is a discrepancy between the quantity of reference designators listed [14] and the specified quantity [28]. Please confirm.,Confirm twenty-eight individual clips per board,140 clips,The fourteen F103-F116 footprints each accept two individual Keystone 3517 clips. Their fuse cartridges are separate BOM items 13-17.,"Keep quantity 28 per board / 140 total. Combined with item 87, order 32 clips per board / 160 total. Ask PCBWay to consolidate purchasing and reconcile the different quoted unit prices for the same 3517 MPN, while retaining both assembly mappings.","Quantity 28 is correct: F103-F116 are 14 fuse positions, each needing 2 individual Keystone 3517 clips. Supply 28 per board, 140 total, in addition to item 87. Total 3517 requirement across both lines is 32 per board / 160 pieces. Fuse cartridges are separate items 13-17. Please consolidate purchasing of the 160 identical clips and reconcile the two quoted unit prices without losing the assembly mappings.",wpc_power_driver_cost.kicad_pcb; docs/ASSEMBLY_AND_FIRST_ARTICLE.md; docs/ASSEMBLY_QUOTE_COUNTS.md
104,102,BR1 hardware,MPMS 003 0008 PH,"The quoted part number is [MPMS 003 0008 PH], not [M3X8] as specified in description; There is a discrepancy between the quantity of reference designators listed [2] and the specified quantity [4]. Please confirm.; Reference designator [BR1,hardware] is duplicated in other lines,pls confirm.","Confirm screw MPN, count and assembly mapping",20 screws,"MPMS 003 0008 PH is the selected M3x8 Phillips pan-head screw. Four separate D101-D104 heatsink assemblies need one screw each; BR1 hardware is an assembly label. The matching four M3 nuts are included in the nine-per-board MHNZ 003 line, item 103.","Keep 4 screws per board / 20 total. M3X8 is the size/value, not another MPN. Relabel this mechanical line SCREW_D101 through SCREW_D104 to prevent reference-token counting and duplicate-reference warnings. Retain the separate nuts.","MPMS 003 0008 PH is correct; M3X8 describes the screw size, not a second part number. Quantity 4 per board / 20 total is correct: one screw for each D101-D104 heatsink assembly. BR1 hardware is an assembly label, not two reference designators. Please label these SCREW_D101, SCREW_D102, SCREW_D103, SCREW_D104. The four corresponding M3 nuts are included in item 103 along with five triac nuts; those are separate required parts.",output/release-candidate/bom/purchase-bom.csv; tools/sourcing.py; tools/make_mechanical_models.py; docs/ASSEMBLY_AND_FIRST_ARTICLE.md
106,104,Assembly consumable; one syringe per build batch,8616-3ML,[It's out of stock. Please recommend substitutes or you can supply this part to us.],Request same grease in alternate packaging,1 shared tube for the five-board batch,The design specifies MG Chemicals 8616 grease as a batch consumable at all ten device/heatsink interfaces per board. The current manufacturer datasheet lists 8616-85ML as the same 8616 material in a tube. The modeled interface allowance still requires assembly validation.,"Request a quote for 8616-85ML, one tube shared across the batch, as a packaging-only replacement for 8616-3ML. Use a thin continuous film at all specified interfaces. If unavailable, source the original 8616 externally. Do not omit paste or substitute an unspecified adhesive/pad. Supplier stock and price for the alternate remain to be confirmed.","Please quote MG Chemicals 8616-85ML as the packaging alternative to 8616-3ML; the formulation must remain 8616. One tube is a shared consumable for the entire five-board build, not one tube per PCB. Apply a thin continuous film at the four D101-D104, five triac and one BR3 heatsink interfaces on each board. Please confirm availability and price. If the 8616 formulation is unavailable in either package, leave this sourcing item open for external supply rather than fitting the heatsinks dry.",docs/ASSEMBLY_AND_FIRST_ARTICLE.md; tools/sourcing.py; https://mgchemicals.com/downloads/tds/tds-8616.pdf
