"Refs","Value","Footprint","Manufacturer","MPN","Distributor link","Unit price USD (DigiKey qty 1)","Description"
"B1-B6,B9-B13,B15,B16,B18,B19,C13-C20,C31,C35,C41,C42","100nF","Capacitor_SMD:C_0805_2012Metric","Samsung","CL21B104KBCNNNC","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661","","Bootstrap 100 nF,Bypass 100 nF 50 V X7R 0805,Capacitor 100 nF 50 V X7R, 0805,Compensation Cc 100nF (zero at the modulator pole, eq. 49)"
"BR3","GBPC3510","Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm","Vishay","GBPC3510W-E4/51","https://www.digikey.com/en/products/detail/vishay-semiconductor-diodes-division/GBPC3510W-E4-51/605926","","Bridge rectifier 35 A 1000 V, GBPC-W (28.6 mm square block, wire leads, #10 centre hole, metal base up when PCB-mounted)"
"C2,C4,C9,C12","330uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Panasonic","EEU-FR1E331","https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1E331/2433549","","Output capacitor 330 uF 25 V low ESR"
"C5-C7,C11,C30","10000uF 25V","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","Rubycon","25USC10000MEFCSN25X25","https://www.digikey.com/en/products/detail/rubycon/25USC10000MEFCSN25X25/3565219","","Capacitor 10000 uF 25 V snap-in 25x25 mm, 85C 3000 h (USC)"
"C8,C32","2200uF 100V","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","Nichicon","LLS2A222MELA","https://www.digikey.com/en/products/detail/nichicon/LLS2A222MELA/2548962","","Capacitor 2200 uF 100 V snap-in 25x40 mm"
"C21","10nF","Capacitor_SMD:C_0805_2012Metric","Samsung","CL21B103KBANNNC","https://www.digikey.com/en/products/result?keywords=CL21B103KBANNNC","","Capacitor 10 nF (ZC filter)"
"C33,C34,C38-C40,C44","10uF","Capacitor_SMD:C_1210_3225Metric","Samsung","CL32B106KBJNNWE","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32B106KBJNNWE/3889046","","Input capacitor 10 uF 50 V X7R 1210,Output capacitor 10 uF 50 V X7R 1210"
"C36","33nF","Capacitor_SMD:C_0805_2012Metric","Samsung","CL21B333KBANNNC","https://www.digikey.com/en/products/result?keywords=CL21B333KBANNNC","","Compensation Cc 33nF (zero at the modulator pole, eq. 49)"
"C37","470pF","Capacitor_SMD:C_0805_2012Metric","Samsung","CL21C471JBANNNC","https://www.digikey.com/en/products/result?keywords=CL21C471JBANNNC","","Compensation Cp 470pF (ESR-zero cancellation, eq. 50)"
"C43","390pF","Capacitor_SMD:C_0805_2012Metric","Samsung","CL21C391JBANNNC","https://www.digikey.com/en/products/result?keywords=CL21C391JBANNNC","","Compensation Cp 390pF (ESR-zero cancellation, eq. 50)"
"D1-D3,D9-D12,D38","S1M-13-F","Diode_SMD:D_SMA","Diodes Inc","S1M-13-F","https://www.digikey.com/en/products/detail/diodes-incorporated/S1M-13-F/804909","0.19","Rectifier 1 A 1000 V, SMA (tie-back)"
"D5-D8,D17-D32","S3M-13-F","Diode_SMD:D_SMC","Diodes Inc","S3M-13-F","https://www.digikey.com/en/products/detail/diodes-incorporated/S3M-13-F/725029","0.54","Rectifier 3 A 1000 V, SMC (tie-back)"
"D33,D34","1N4148W","Diode_SMD:D_SOD-123","Diodes Inc","1N4148W-7-F","https://www.digikey.com/en/products/result?keywords=1N4148W-7-F","","Small-signal diode 75 V 150 mA, SOD-123"
"D36,D37","B560C","Diode_SMD:D_SMC","Diodes Inc","B560C-13-F","https://www.digikey.com/en/products/detail/diodes-incorporated/B560C-13-F/768773","","Catch diode B560C 5 A 60 V Schottky SMC"
"D101-D116","STPS20M100S","wpc_cost:D2PAK_Schottky_AKA","STMicroelectronics","STPS20M100SG-TR","https://www.digikey.com/en/products/detail/stmicroelectronics/STPS20M100SG-TR/2122461","1.58","Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +12V POWER, AC_A -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +12V POWER, AC_B -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +12V POWER, GND -> AC_A,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +12V POWER, GND -> AC_B,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +18V lamp matrix supply, AC_A -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +18V lamp matrix supply, AC_B -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +18V lamp matrix supply, GND -> AC_A,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +18V lamp matrix supply, GND -> AC_B,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +20V flashlamp supply, AC_A -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +20V flashlamp supply, AC_B -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +20V flashlamp supply, GND -> AC_A,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +20V flashlamp supply, GND -> AC_B,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +5V raw supply, AC_A -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +5V raw supply, AC_B -> +,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +5V raw supply, GND -> AC_A,Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +5V raw supply, GND -> AC_B"
"F101,F102","no fuse (clips only)","Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal","Keystone","3517","https://www.digikey.com/en/products/detail/keystone-electronics/3517/316010","0.32","Fuse clips only (left flipper fuse, not used on Fliptronic games),Fuse clips only (right flipper fuse, not used on Fliptronic games)"
"F103-F105,F116","3A S.B.","Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal","Littelfuse","0239003.MXP","https://www.digikey.com/en/products/detail/littelfuse-inc/0239003-MXP/778224","1.15","Fuse 3 A Slo-Blo 5x20 mm (Keystone 3517 clips), +50V to J107-1 sol 25-28 / 8-driver,Fuse 3 A Slo-Blo 5x20 mm (Keystone 3517 clips), +50V to J107-2 sol 9-16,Fuse 3 A Slo-Blo 5x20 mm (Keystone 3517 clips), +50V to J107-3 sol 1-8,Fuse 3A S.B. 5x20 mm (Keystone 3517 clips), +12V POWER (unregulated, 9.8VAC): motors, optos, coin door, DMD - J116/J117/J118"
"F106-F111,F113","5A S.B.","Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal","Littelfuse","0239005.MXP","https://www.digikey.com/en/products/detail/littelfuse-inc/0239005-MXP/778232","1.48","Fuse 5 A Slo-Blo 5x20 mm (Keystone 3517 clips), G.I. string #1,Fuse 5 A Slo-Blo 5x20 mm (Keystone 3517 clips), G.I. string #2,Fuse 5 A Slo-Blo 5x20 mm (Keystone 3517 clips), G.I. string #3,Fuse 5 A Slo-Blo 5x20 mm (Keystone 3517 clips), G.I. string #4,Fuse 5 A Slo-Blo 5x20 mm (Keystone 3517 clips), G.I. string #5,Fuse 5A S.B. 5x20 mm (Keystone 3517 clips), +20V flashlamp supply,Fuse 5A S.B. 5x20 mm (Keystone 3517 clips), +5V raw supply (9VAC)"
"F112","7A S.B.","Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal","Littelfuse","0239007.MXP","https://www.digikey.com/en/products/detail/littelfuse-inc/0239007.MXP/778234","","Fuse 7A S.B. 5x20 mm (Keystone 3517 clips), +50V solenoid supply (51 VAC winding -> ~70 V DC, 78 V peak unloaded)"
"F114","8A","Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal","Littelfuse","0217008.MXP","https://www.digikey.com/en/products/detail/littelfuse-inc/0217008-MXP/777551","0.57","Fuse 8A 5x20 mm (Keystone 3517 clips), +18V lamp matrix supply (13.3 VAC); also feeds the +12V digital buck U21"
"F115","3/4A S.B.","Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal","Littelfuse","0239.750MXP","https://www.digikey.com/en/products/result?keywords=0239.750MXP","1.00","Fuse 3/4 A Slo-Blo 5x20 mm (Keystone 3517 clips), +12V switch matrix"
"H1-H8","M4","MountingHole:MountingHole_4.3mm_M4","","","","","Mounting hole 4.3mm"
"J101","J101 xformer 9VAC (Red) / 13VAC (Blu-Wht)","Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical","Molex","0026604007","https://www.digikey.com/en/products/result?keywords=0026604007","","J101 xformer 9VAC (Red) / 13VAC (Blu-Wht)"
"J102","J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel)"
"J103","J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical","Molex","0026604004","https://www.digikey.com/en/products/result?keywords=0026604004","","J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)"
"J104","J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1"
"J105","J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)"
"J106","J106 +20V to backbox flashlamps (pins 1-4 open, key 4)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J106 +20V to backbox flashlamps (pins 1-4 open, key 4)"
"J107","J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield","Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical","Molex","0026604006","https://www.digikey.com/en/products/result?keywords=0026604006","","J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield"
"J108","J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","Molex","0026604003","https://www.digikey.com/en/products/result?keywords=0026604003","","J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG)"
