Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
BR3,1,GBPC3510,Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm,Vishay,GBPC3510W-E4/51,"Bridge rectifier 35 A 1000 V, GBPC-W (28.6 mm square block, wire leads, #10 centre hole, metal base up when PCB-mounted)",https://www.digikey.com/en/products/detail/vishay-semiconductor-diodes-division/GBPC3510W-E4-51/605926,
C2,1,330uF,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Panasonic,EEU-FR1E331,Output capacitor 330 uF 25 V low ESR,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1E331/2433549,
C4,1,330uF,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Panasonic,EEU-FR1E331,Output capacitor 330 uF 25 V low ESR,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1E331/2433549,
C5,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://product.tdk.com/en/search/capacitor/aluminum-electrolytic/snap_multi_large/info?part_no=B41252A7109M000,
C6,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://product.tdk.com/en/search/capacitor/aluminum-electrolytic/snap_multi_large/info?part_no=B41252A7109M000,
C7,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://product.tdk.com/en/search/capacitor/aluminum-electrolytic/snap_multi_large/info?part_no=B41252A7109M000,
C8,1,2200uF 100V,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,Nichicon,LLS2A222MELA,Capacitor 2200 uF 100 V snap-in 25x40 mm,https://www.digikey.com/en/products/detail/nichicon/LLS2A222MELA/2548962,
C9,1,330uF,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Panasonic,EEU-FR1E331,Output capacitor 330 uF 25 V low ESR,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1E331/2433549,
C11,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://product.tdk.com/en/search/capacitor/aluminum-electrolytic/snap_multi_large/info?part_no=B41252A7109M000,
C12,1,330uF,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Panasonic,EEU-FR1E331,Output capacitor 330 uF 25 V low ESR,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1E331/2433549,
