Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
BR3,1,GBPC3510,Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm,Vishay,GBPC3510W-E4/51,"Bridge rectifier 35 A 1000 V, GBPC-W (28.6 mm square block, wire leads, #10 centre hole, metal base up when PCB-mounted)",https://www.digikey.com/en/products/detail/vishay-semiconductor-diodes-division/GBPC3510W-E4-51/605926,
C2 C4 C9 C12,4,330uF,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,Panasonic,EEU-FR1E331,Output capacitor 330 uF 25 V low ESR,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1E331/2433549,
C5 C6 C7 C11 C30,5,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://product.tdk.com/en/search/capacitor/aluminum-electrolytic/snap_multi_large/info?part_no=B41252A7109M000,
C8 C32,2,2200uF 100V,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,Nichicon,LLS2A222MELA,Capacitor 2200 uF 100 V snap-in 25x40 mm,https://www.digikey.com/en/products/detail/nichicon/LLS2A222MELA/2548962,
C33 C34 C38 C39 C40 C44,6,10uF,Capacitor_SMD:C_1210_3225Metric,Samsung,CL32B106KBJNNWE,Input capacitor 10 uF 50 V X7R 1210,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32B106KBJNNWE/3889046,
C35 C41 C42 B6 B9 B5 B4 B3 B2 B18 B19 B10 B11 B12 B13 B15 B16 C13 C14 C15 C16 C17 C18 C19 C20 C31 B1,27,100nF,Capacitor_SMD:C_0805_2012Metric,Samsung,CL21B104KBCNNNC,Bootstrap 100 nF,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661,
C36,1,33nF,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C333K5RACTU,"Compensation Cc 33nF (zero at the modulator pole, eq. 49)",https://search.kemet.com/download/specsheet/C0805C333K5RACTU,
C37,1,470pF,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C471J5GACTU,"Compensation Cp 470pF (ESR-zero cancellation, eq. 50)",https://search.kemet.com/download/specsheet/C0805C471J5GACTU,
C43,1,390pF,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C391J5GACTU,"Compensation Cp 390pF (ESR-zero cancellation, eq. 50)",https://search.kemet.com/download/specsheet/C0805C391J5GACTU,
D36 D37,2,B560C,Diode_SMD:D_SMC,Diodes Inc,B560C-13-F,Catch diode B560C 5 A 60 V Schottky SMC,https://www.digikey.com/en/products/detail/diodes-incorporated/B560C-13-F/768773,
D101 D102 D103 D104,4,STPS20M100ST,wpc_cost:TO220_Schottky_AKA_5772,STMicroelectronics,STPS20M100ST,"Schottky rectifier 100 V 20 A TO-220AB, physical leads A-K-A; individual 577202B00000G heatsink required",https://www.digikey.com/en/products/detail/stmicroelectronics/STPS20M100ST/2122463,
D105 D106 D107 D108 D109 D110 D111 D112 D113 D114 D115 D116,12,STPS20M100S,wpc_cost:D2PAK_Schottky_AKA,STMicroelectronics,STPS20M100SG-TR,"Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +5V raw supply, AC_A -> +",https://www.digikey.com/en/products/detail/stmicroelectronics/STPS20M100SG-TR/2122461,
F103 F104 F105 F116,4,3A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239003.MXP,"Fuse 3 A Slo-Blo 5x20 mm (Keystone 3517 clips), +50V to J107-1 sol 25-28 / 8-driver",https://www.digikey.com/en/products/detail/littelfuse-inc/0239003-MXP/778224,
F111 F113 F106 F107 F108 F109 F110,7,5A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239005.MXP,"Fuse 5A S.B. 5x20 mm (Keystone 3517 clips), +20V flashlamp supply",https://www.digikey.com/en/products/detail/littelfuse-inc/0239005-MXP/778232,
F112,1,7A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239007.MXP,"Fuse 7A S.B. 5x20 mm (Keystone 3517 clips), +50V solenoid supply (51 VAC winding -> ~70 V DC, 78 V peak unloaded)",https://www.digikey.com/en/products/detail/littelfuse-inc/0239007.MXP/778234,
F114,1,8A,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0217008.MXP,"Fuse 8A 5x20 mm (Keystone 3517 clips), +18V lamp matrix supply (13.3 VAC); also feeds the +12V digital buck U21",https://www.digikey.com/en/products/detail/littelfuse-inc/0217008-MXP/777551,
F115,1,3/4A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239.750MXP,"Fuse 3/4 A Slo-Blo 5x20 mm (Keystone 3517 clips), +12V switch matrix",https://www.digikey.com/en/products/result?keywords=0239.750MXP,
J101,1,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,Molex,0026604070,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),https://www.digikey.com/en/products/result?keywords=0026604070,
J102,1,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J103,1,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,Molex,0026604040,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",https://www.digikey.com/en/products/result?keywords=0026604040,
J104,1,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",https://www.digikey.com/en/products/result?keywords=0026604050,
J106,1,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",https://www.digikey.com/en/products/result?keywords=0026604050,
J107,1,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical,Molex,0026604060,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",https://www.digikey.com/en/products/result?keywords=0026604060,
J108,1,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,Molex,0026604030,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),https://www.digikey.com/en/products/result?keywords=0026604030,
J109,1,J109 spare (N/C),Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,Molex,0026604070,J109 spare (N/C),https://www.digikey.com/en/products/result?keywords=0026604070,
J110,1,J110 spare (N/C),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J110 spare (N/C),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J112,1,J112 xformer 9.8VAC (Wht-Grn),Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,J112 xformer 9.8VAC (Wht-Grn),https://www.digikey.com/en/products/result?keywords=0026604050,
J114,1,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,Molex,0026604070,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",https://www.digikey.com/en/products/result?keywords=0026604070,
J116,1,J116 +12V power (unregulated) / GND / +5V to coin door,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,Molex,0026604040,J116 +12V power (unregulated) / GND / +5V to coin door,https://www.digikey.com/en/products/result?keywords=0026604040,
J117,1,J117 +12V power (unregulated) / GND / +5V to DMD controller,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,Molex,0026604040,J117 +12V power (unregulated) / GND / +5V to DMD controller,https://www.digikey.com/en/products/result?keywords=0026604040,
J118,1,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,Molex,0026604040,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",https://www.digikey.com/en/products/result?keywords=0026604040,
