audio_time,solenoid,state
3.766667,29,1
3.833333,2,1
4.166667,2,0
4.233333,1,1
4.633333,1,0
8.066667,29,1
11.200000,29,0
11.333333,29,1
11.400000,17,1
11.400000,18,1
11.533333,2,1
11.933333,1,1
11.933333,2,0
12.266667,1,0
12.383333,54,1
12.450000,54,0
13.133333,11,1
13.200000,11,0
13.800000,6,1
13.933333,6,0
17.033333,51,1
17.233333,51,0
17.283333,51,1
17.350000,51,0
17.533333,51,1
17.583333,51,0
17.766667,51,1
17.833333,51,0
18.016667,51,1
18.066667,17,0
18.066667,51,0
18.133333,18,0
18.250000,51,1
18.300000,51,0
18.500000,51,1
18.550000,51,0
18.733333,51,1
18.766667,51,0
19.266667,11,1
19.400000,11,0
19.933333,6,1
20.066667,6,0
23.150000,52,1
23.383333,52,0
23.566667,52,1
23.616667,52,0
23.800000,52,1
23.866667,52,0
24.050000,52,1
24.100000,52,0
24.283333,52,1
24.350000,52,0
24.533333,52,1
24.583333,52,0
24.766667,52,1
24.833333,52,0
25.666667,11,1
25.733333,11,0
26.333333,6,1
26.466667,6,0
40.066667,29,0
40.600000,31,1
40.733333,11,1
40.800000,11,0
44.266667,6,1
44.400000,6,0
44.400000,27,1
44.416667,53,1
44.466667,23,1
44.466667,25,1
44.483333,53,0
44.533333,24,1
44.533333,26,1
44.533333,27,0
44.583333,55,1
44.600000,22,1
44.600000,23,0
44.600000,25,0
44.616667,55,0
44.666667,24,0
44.666667,26,0
44.666667,28,1
44.733333,20,1
44.733333,22,0
44.733333,24,1
44.750000,56,1
44.783333,56,0
44.800000,20,0
44.800000,21,1
44.800000,24,0
44.800000,28,0
44.866667,21,0
44.866667,23,1
44.866667,27,1
44.933333,23,0
44.933333,24,1
44.933333,25,1
44.933333,26,1
44.933333,27,0
44.950000,55,1
44.983333,55,0
45.000000,22,1
45.000000,24,0
45.000000,25,0
45.000000,26,0
45.000000,28,1
45.066667,20,1
45.066667,22,0
45.066667,24,1
45.066667,28,0
45.066667,56,1
45.116667,56,0
45.133333,20,0
45.200000,24,0
45.266667,24,1
45.400000,24,0
45.466667,24,1
45.533333,24,0
45.600000,24,1
45.733333,24,0
45.800000,24,1
45.866667,24,0
45.933333,24,1
46.000000,24,0
46.133333,24,1
46.200000,24,0
46.266667,24,1
46.333333,24,0
46.466667,24,1
46.533333,24,0
46.600000,24,1
46.733333,24,0
46.800000,24,1
46.866667,24,0
46.933333,24,1
47.000000,24,0
47.066667,24,1
47.200000,24,0
47.266667,24,1
47.266667,54,1
47.333333,24,0
47.333333,54,0
47.400000,24,1
47.533333,24,0
47.600000,24,1
47.666667,24,0
47.733333,24,1
47.866667,24,0
47.933333,24,1
48.000000,24,0
48.066667,24,1
48.200000,24,0
48.266667,24,1
48.400000,12,1
48.400000,24,0
48.533333,12,0
48.600000,22,1
48.600000,24,1
48.666667,24,0
48.733333,24,1
48.800000,24,0
48.866667,22,0
49.000000,24,1
49.066667,24,0
49.133333,24,1
49.266667,24,0
49.333333,24,1
49.400000,24,0
49.466667,24,1
49.533333,24,0
49.666667,24,1
49.733333,24,0
49.800000,24,1
49.866667,24,0
49.933333,24,1
50.066667,24,0
50.133333,24,1
50.200000,24,0
50.266667,24,1
50.400000,24,0
50.466667,24,1
50.533333,24,0
50.600000,24,1
50.733333,24,0
50.800000,24,1
50.866667,24,0
51.000000,24,1
51.133333,24,0
51.200000,24,1
51.266667,24,0
51.333333,24,1
51.466667,24,0
51.533333,24,1
51.600000,24,0
51.666667,24,1
51.733333,24,0
51.866667,24,1
51.933333,24,0
52.000000,24,1
52.133333,24,0
52.200000,24,1
52.266667,24,0
52.333333,24,1
52.400000,24,0
52.533333,24,1
52.600000,24,0
52.666667,24,1
52.733333,24,0
64.816667,53,1
64.866667,17,1
64.866667,18,1
64.883333,53,0
64.966667,54,1
65.033333,54,0
65.133333,6,1
65.266667,6,0
65.333333,54,1
65.400000,54,0
65.533333,9,1
65.600000,9,0
65.666667,10,1
65.800000,10,0
65.866667,14,1
65.933333,14,0
66.000000,12,1
66.133333,12,0
66.200000,13,1
66.266667,13,0
66.316667,53,1
66.383333,53,0
66.466667,54,1
66.533333,54,0
66.666667,6,1
66.800000,6,0
66.866667,9,1
67.000000,9,0
67.066667,10,1
67.133333,10,0
67.200000,14,1
67.333333,14,0
67.400000,12,1
67.466667,12,0
67.533333,13,1
67.666667,13,0
67.733333,1,1
67.866667,1,0
67.866667,2,1
68.000000,2,0
68.000000,54,1
68.066667,54,0
68.233333,54,1
68.300000,54,0
71.666667,18,0
71.800000,17,0
72.666667,15,1
74.133333,52,1
74.400000,52,0
74.466667,15,0
74.583333,52,1
74.650000,52,0
74.816667,52,1
74.883333,52,0
75.066667,52,1
75.133333,52,0
75.300000,52,1
75.366667,52,0
75.550000,52,1
75.616667,51,1
75.616667,52,0
75.783333,52,1
75.816667,51,0
75.850000,51,1
75.850000,52,0
75.900000,51,0
76.100000,51,1
76.150000,51,0
76.333333,51,1
76.383333,51,0
76.583333,51,1
76.633333,51,0
76.816667,51,1
76.866667,51,0
77.066667,51,1
77.100000,53,1
77.116667,51,0
77.133333,17,1
77.133333,18,1
77.166667,53,0
77.250000,54,1
77.300000,51,1
77.316667,54,0
77.350000,51,0
77.416667,54,1
77.483333,54,0
77.600000,6,1
77.733333,6,0
77.800000,9,1
77.933333,9,0
78.000000,10,1
78.066667,10,0
78.133333,14,1
78.266667,14,0
78.333333,12,1
78.400000,12,0
78.466667,13,1
78.600000,13,0
78.616667,53,1
78.683333,53,0
78.783333,54,1
78.850000,54,0
78.933333,6,1
79.133333,6,0
79.200000,9,1
79.266667,9,0
79.333333,10,1
79.466667,10,0
79.466667,14,1
79.600000,14,0
79.666667,12,1
79.733333,12,0
79.800000,13,1
79.866667,13,0
80.000000,1,1
80.066667,1,0
80.133333,2,1
80.200000,2,0
80.283333,54,1
80.350000,54,0
80.450000,54,1
80.516667,54,0
80.533333,33,1
80.533333,34,1
80.566667,33,0
80.650000,34,0
80.800000,33,1
80.800000,34,1
80.833333,33,0
80.933333,34,0
81.066667,33,1
81.066667,34,1
81.100000,33,0
81.200000,34,0
81.400000,5,1
81.400000,15,1
81.466667,5,0
82.816667,52,1
83.033333,52,0
83.200000,15,0
83.216667,52,1
83.283333,52,0
83.466667,52,1
83.516667,52,0
83.700000,52,1
83.766667,52,0
83.933333,17,0
83.950000,52,1
84.000000,18,0
84.000000,52,0
84.183333,52,1
84.250000,52,0
84.300000,51,1
84.433333,52,1
84.483333,52,0
84.500000,51,0
84.600000,51,1
84.666667,51,0
84.850000,51,1
84.916667,51,0
85.083333,51,1
85.150000,51,0
85.333333,51,1
85.400000,51,0
85.566667,51,1
85.633333,51,0
85.783333,53,1
85.800000,17,1
