audio_time,solenoid,state
3.766667,29,1
3.833333,2,1
4.166667,2,0
4.233333,1,1
4.633333,1,0
8.050000,29,1
11.183333,29,0
11.316667,29,1
11.383333,17,1
11.383333,18,1
11.516667,2,1
11.916667,1,1
11.916667,2,0
12.250000,1,0
12.366667,54,1
12.433333,54,0
13.116667,11,1
13.183333,11,0
13.783333,6,1
13.916667,6,0
17.000000,51,1
17.216667,51,0
17.266667,51,1
17.333333,51,0
17.516667,51,1
17.566667,51,0
17.750000,51,1
17.816667,51,0
18.000000,51,1
18.050000,17,0
18.050000,51,0
18.116667,18,0
18.233333,51,1
18.283333,51,0
18.483333,51,1
18.533333,51,0
18.716667,51,1
18.750000,51,0
19.250000,11,1
19.316667,11,0
19.916667,6,1
20.050000,6,0
23.133333,52,1
23.350000,52,0
23.366667,52,1
23.433333,52,0
23.600000,52,1
23.666667,52,0
23.850000,52,1
23.916667,52,0
24.083333,52,1
24.150000,52,0
24.333333,52,1
24.400000,52,0
24.566667,52,1
24.633333,52,0
24.816667,52,1
24.883333,52,0
25.783333,11,1
25.850000,11,0
26.583333,6,1
26.716667,6,0
40.116667,29,0
40.583333,31,1
40.716667,11,1
40.850000,11,0
