Line,Group_ID,Category,Assembly,References,Native_References,Value_or_Description,Original_MPN,Original_Manufacturer,Selected_MPN,Selected_Manufacturer,DigiKey_Part_Number,Required_Qty_1_Board,Purchase_Qty,Surplus_Qty,DNP,Match_Status,Engineering_Review_Required,Original_Footprint,Notes,Product_URL
1,C49678,Electronics,SMT,B1 B2 B3 B4 B5 B6 B9 B10 B11 B12 B13 B15 B16 B18 B19 C13 C14 C15 C16 C17 C18 C19 C20 C31 C36,B1 B2 B3 B4 B5 B6 B9 B10 B11 B12 B13 B15 B16 B18 B19 C13 C14 C15 C16 C17 C18 C19 C20 C31 C36,100nF,CC0805KRX7R9BB104,YAGEO,CC0805KRX7R9BB104,YAGEO,311-1140-1-ND,25,25,0,no,exact,no,Capacitor_SMD:C_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874
2,C906984,Electronics,Through-hole soldered,BR3,BR3,GBPC2506W,GBPC2506W,onsemi,GBPC2506W,onsemi,GBPC2506WFS-ND,1,1,0,no,exact,no,wpc_cost:ONSEMI_GBPC2506W_18mm_formed,"Form wire leads to 18 x 18 mm pattern; + to pad 1, - to pad 2, AC to 3/4; preserve 0.12 mm standoff. New body max 11.23 mm. M4x20 screw replaces M4x16. | BR3: Form wire leads to 18 x 18 mm pattern; + to pad 1, - to pad 2, AC to 3/4; preserve 0.12 mm standoff. New body max 11.23 mm. M4x20 screw replaces M4x16. No public library; manually preserve native +, minus, AC and formed-lead mapping.",https://www.digikey.com/en/products/detail/onsemi/GBPC2506W/1057328
3,C109394,Electronics,Through-hole soldered,C2 C4 C9 C12,C2 C4 C9 C12,330uF,25ZLH330MEFC8X11.5,Rubycon,25ZLH330MEFC8X11.5,Rubycon,1189-1875-ND,4,4,0,no,exact,no,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,,https://www.digikey.com/en/products/detail/rubycon/25ZLH330MEFC8X11-5/3563384
4,C443892,Electronics,Through-hole soldered,C5 C6 C7 C11 C30 C59 C60 C61 C62 C63,C5 C6 C7 C11 C30 C59 C60 C61 C62 C63,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),EGPD350ELL472MM30H,Chemi-Con,565-3805-ND,10,10,0,no,exact,no,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,,https://www.digikey.com/en/products/detail/chemi-con/EGPD350ELL472MM30H/4843615
5,C3445915,Electronics,Through-hole soldered,C8 C32 C64 C65,C8 C32 C64 C65,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,UHW2A102MHD,Nichicon,493-14594-ND,4,4,0,no,candidate,yes,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,"1000uF 100V +/-20%, 18mm can, 7.5mm pitch, 42mm seated maximum. DigiKey specifies 2.316A ripple at 120Hz and 3.86A at 100kHz. Review ESR, lifetime, ripple and installed height; no new SPICE or mechanical qualification.",https://www.digikey.com/en/products/detail/nichicon/UHW2A102MHD/5818032
6,C1710,Electronics,SMT,C21,C21,10nF,CL21B103KBANNNC,Samsung Electro-Mechanics,CL21B103KBANNNC,Samsung Electro-Mechanics,1276-1015-1-ND,1,1,0,no,exact,no,Capacitor_SMD:C_0805_2012Metric,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673
7,C138687,Electronics,SMT,C33 C34 C38 C39 C40 C44 C46 C49 C50 C51 C53 C56 C57 C58,C33 C34 C38 C39 C40 C44 C46 C49 C50 C51 C53 C56 C57 C58,10uF,CL32B106KBJNNNE,Samsung Electro-Mechanics,MSASU32MAB7106KPNA01,Taiyo Yuden,587-MSASU32MAB7106KPNA01CT-ND,14,14,0,no,candidate,yes,Capacitor_SMD:C_1210_3225Metric,"Original Samsung part has zero stock in public snapshot. Candidate is 10uF 50V +/-10% X7R 1210, 2.7mm maximum thickness. Review effective capacitance under DC bias and regulator stability.",https://www.digikey.com/en/products/detail/taiyo-yuden/MSASU32MAB7106KPNA01/20485064
8,C307331,Electronics,SMT,C35 C41 C45 C47 C48 C52 C54 C55,C35 C41 C45 C47 C48 C52 C54 C55,100nF,CL05B104KB54PNC,Samsung Electro-Mechanics,CL05B104KB54PNC,Samsung Electro-Mechanics,1276-CL05B104KB54PNCCT-ND,8,8,0,no,exact,no,Capacitor_SMD:C_0402_1005Metric,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KB54PNC/11487801
9,C107121,Electronics,SMT,C37,C37,680pF,CC0805JRNPO9BN681,YAGEO,CC0805JRNPO9BN681,YAGEO,311-1121-1-ND,1,1,0,no,exact,no,Capacitor_SMD:C_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/CC0805JRNPO9BN681/303031
10,C73142,Electronics,SMT,C42,C42,330nF,CL21B334KBFNNNE,Samsung Electro-Mechanics,CL21B334KBFNNNE,Samsung Electro-Mechanics,1276-1123-1-ND,1,1,0,no,exact,no,Capacitor_SMD:C_0805_2012Metric,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B334KBFNNNE/3886781
