Source_Designator,Parent,Source_Quantity,BOM_Group_ID,DNP,Selected_MPN
B1,B1,1,C49678,,CC0805KRX7R9BB104
B2,B2,1,C49678,,CC0805KRX7R9BB104
B3,B3,1,C49678,,CC0805KRX7R9BB104
B4,B4,1,C49678,,CC0805KRX7R9BB104
B5,B5,1,C49678,,CC0805KRX7R9BB104
B6,B6,1,C49678,,CC0805KRX7R9BB104
B9,B9,1,C49678,,CC0805KRX7R9BB104
B10,B10,1,C49678,,CC0805KRX7R9BB104
B11,B11,1,C49678,,CC0805KRX7R9BB104
B12,B12,1,C49678,,CC0805KRX7R9BB104
B13,B13,1,C49678,,CC0805KRX7R9BB104
B15,B15,1,C49678,,CC0805KRX7R9BB104
B16,B16,1,C49678,,CC0805KRX7R9BB104
B18,B18,1,C49678,,CC0805KRX7R9BB104
B19,B19,1,C49678,,CC0805KRX7R9BB104
C13,C13,1,C49678,,CC0805KRX7R9BB104
C14,C14,1,C49678,,CC0805KRX7R9BB104
C15,C15,1,C49678,,CC0805KRX7R9BB104
C16,C16,1,C49678,,CC0805KRX7R9BB104
C17,C17,1,C49678,,CC0805KRX7R9BB104
C18,C18,1,C49678,,CC0805KRX7R9BB104
C19,C19,1,C49678,,CC0805KRX7R9BB104
C20,C20,1,C49678,,CC0805KRX7R9BB104
C31,C31,1,C49678,,CC0805KRX7R9BB104
C36,C36,1,C49678,,CC0805KRX7R9BB104
BR3,BR3,1,C906984,,GBPC2506W
C2,C2,1,C109394,,25ZLH330MEFC8X11.5
C4,C4,1,C109394,,25ZLH330MEFC8X11.5
C9,C9,1,C109394,,25ZLH330MEFC8X11.5
C12,C12,1,C109394,,25ZLH330MEFC8X11.5
C5,C5,1,C443892,,EGPD350ELL472MM30H
C6,C6,1,C443892,,EGPD350ELL472MM30H
C7,C7,1,C443892,,EGPD350ELL472MM30H
C11,C11,1,C443892,,EGPD350ELL472MM30H
C30,C30,1,C443892,,EGPD350ELL472MM30H
C59,C59,1,C443892,,EGPD350ELL472MM30H
C60,C60,1,C443892,,EGPD350ELL472MM30H
C61,C61,1,C443892,,EGPD350ELL472MM30H
C62,C62,1,C443892,,EGPD350ELL472MM30H
C63,C63,1,C443892,,EGPD350ELL472MM30H
C8,C8,1,C3445915,,UHW2A102MHD
C32,C32,1,C3445915,,UHW2A102MHD
C64,C64,1,C3445915,,UHW2A102MHD
C65,C65,1,C3445915,,UHW2A102MHD
C21,C21,1,C1710,,CL21B103KBANNNC
C33,C33,1,C138687,,MSASU32MAB7106KPNA01
C34,C34,1,C138687,,MSASU32MAB7106KPNA01
C38,C38,1,C138687,,MSASU32MAB7106KPNA01
C39,C39,1,C138687,,MSASU32MAB7106KPNA01
