Designator,Parent,JLCPCB_part,X_mm,Y_mm,Rotation_deg,Side,Center_definition,Assembly_note
BR3,BR3,C906984,251.988,-23.304,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,"Form wire leads to 18 x 18 mm pattern; + to pad 1, - to pad 2, AC to 3/4; preserve 0.12 mm standoff. New body max 11.23 mm. M4x20 screw replaces M4x16."
C2,C2,C109394,125.0,-58.7,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C4,C4,C109394,254.418,-81.423,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C5,C5,C443892,324.583,-48.345,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C6,C6,C443892,399.694,-107.527,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C7,C7,C443892,361.049,-107.863,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C8,C8,C3445915,324.0,-93.0,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C9,C9,C109394,241.868,-81.395,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C11,C11,C443892,322.0,-23.0,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C12,C12,C109394,113.847,-68.39,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C30,C30,C443892,24.6,-56.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C32,C32,C3445915,284.0,-93.0,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C33,C33,C138687,266.2,-51.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C34,C34,C138687,266.2,-46.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C35,C35,C307331,266.4,-61.2,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C36,C36,C49678,279.0,-69.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C37,C37,C107121,283.0,-65.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C38,C38,C138687,271.8,-51.5,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C39,C39,C138687,140.2,-61.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C40,C40,C138687,140.2,-56.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C41,C41,C307331,140.4,-71.2,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C42,C42,C73142,153.0,-79.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C43,C43,C62774,157.0,-75.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C44,C44,C138687,145.8,-61.5,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C45,C45,C307331,271.6,-61.2,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C46,C46,C138687,276.0,-58.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C47,C47,C307331,268.48,-55.45,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C48,C48,C307331,269.52,-54.35,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C49,C49,C138687,261.0,-51.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C50,C50,C138687,261.0,-46.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C51,C51,C138687,271.8,-46.5,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C52,C52,C307331,145.6,-71.2,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C53,C53,C138687,150.0,-68.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C54,C54,C307331,142.48,-65.45,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C55,C55,C307331,143.52,-64.35,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C56,C56,C138687,135.0,-61.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C57,C57,C138687,135.0,-56.5,180.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C58,C58,C138687,145.8,-56.5,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C59,C59,C443892,324.583,-68.345,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C60,C60,C443892,399.694,-127.527,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C61,C61,C443892,361.049,-127.863,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C62,C62,C443892,342.0,-16.0,270.0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
C63,C63,C443892,28.0,-75.0,0,Top,Mean native terminal position; use assembly drawing for body offset/polarity,
