Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
B1,B1,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B2,B2,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B3,B3,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B4,B4,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B5,B5,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B6,B6,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B9,B9,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B10,B10,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B11,B11,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B12,B12,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B13,B13,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B15,B15,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B16,B16,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B18,B18,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
B19,B19,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT,
