Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
BR3,BR3,1,GBPC2506W,GBPC2506W,onsemi,wpc_cost:ONSEMI_GBPC2506W_18mm_formed,C906984,Extended,Through-hole/manual,"Form wire leads to 18 x 18 mm pattern; + to pad 1, - to pad 2, AC to 3/4; preserve 0.12 mm standoff. New body max 11.23 mm. M4x20 screw replaces M4x16."
C2,C2,1,330uF,25ZLH330MEFC8X11.5,Rubycon,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C109394,Extended,Through-hole/manual,
C4,C4,1,330uF,25ZLH330MEFC8X11.5,Rubycon,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C109394,Extended,Through-hole/manual,
C5,C5,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C6,C6,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C7,C7,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C8,C8,1,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C3445915,Extended,Through-hole/manual,
C9,C9,1,330uF,25ZLH330MEFC8X11.5,Rubycon,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C109394,Extended,Through-hole/manual,
C11,C11,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C12,C12,1,330uF,25ZLH330MEFC8X11.5,Rubycon,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C109394,Extended,Through-hole/manual,
