Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note,DNP
H1,H1,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H2,H2,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H3,H3,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H4,H4,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H5,H5,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H6,H6,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H7,H7,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
H8,H8,0,M4,,,MountingHole:MountingHole_4.3mm_M4,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP1,TP1,0,TP1 +12VU,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP2,TP2,0,TP2 +5V,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP3,TP3,0,TP3 +12V,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP5,TP5,0,TP5 GND,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP6,TP6,0,TP6 +50V,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP7,TP7,0,TP7 +20V,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP8,TP8,0,TP8 +18V,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP9,TP9,0,TP9 +5V_RAW,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
R198,R198,0,10K,RC0805FR-0710KL,Yageo,Resistor_SMD:R_0805_2012Metric,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
TP4,TP4,0,TP4 ZC,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
D35,D35,0,S1M (DNP),S1M-13-F,Diodes Inc,Diode_SMD:D_SMA,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
Q3,Q3,0,IPD90N10S4L06ATMA1,IPD90N10S4L06ATMA1,Infineon,Package_TO_SOT_SMD:TO-252-2,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
R202,R202,0,100 (DNP),RC0805FR-07100RL,Yageo,Resistor_SMD:R_0805_2012Metric,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
R209,R209,0,10K (DNP),RC0805FR-0710KL,Yageo,Resistor_SMD:R_0805_2012Metric,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
RLY1,RLY1,0,G2RL-2 12V (DNP),G2RL-2 DC12,Omron,Relay_THT:Relay_DPDT_Omron_G2RL-2,,Not purchased,DNP or fabricated board feature,Native design feature; no purchased placement in this variant.,yes
