Designator,LCSC_part,Native_rotation_deg,CPL_rotation_deg,Checked_pads,Centered_RMS_error_mm,Best_numbered_pad_offsets_deg,Status,Detail,Native_pad_1_X_mm,Native_pad_1_Y_mm
B1,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,152.903000,-120.601000
B2,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,172.100000,-120.601000
B3,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,191.380000,-120.601000
B4,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,222.229000,-120.601000
B5,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,261.796000,-120.601000
B6,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,98.750000,-78.870000
B9,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,345.318000,-121.020000
B10,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,340.502000,-148.684000
B11,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,360.919000,-148.684000
B12,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,382.142000,-148.684000
B13,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,383.500000,-145.050000
B15,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,350.582000,-160.699000
B16,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,387.675000,-172.072000
B18,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,416.879000,-154.081000
B19,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,420.850000,-156.228000
BR3,C906984,270.0,270.0,0,,,MANUAL: no library,Native assembly drawing and polarity/key control placement; no library claim.,260.988000,-14.304000
C2,C109394,0,0.0,2,0.000060,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,123.250000,-58.700000
C4,C109394,270.0,270.0,2,0.000060,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,254.418000,-79.673000
C5,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,320.833000,-48.345000
C6,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,395.944000,-107.527000
C7,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,357.299000,-107.863000
C8,C3445915,270.0,270.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,324.000000,-89.250000
C9,C109394,270.0,270.0,2,0.000060,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,241.868000,-79.645000
C11,C443892,270.0,270.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,322.000000,-19.250000
C12,C109394,270.0,270.0,2,0.000060,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,113.847000,-66.640000
C13,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,337.175000,-171.736000
C14,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,333.165000,-171.736000
C15,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,354.544000,-160.696000
C16,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,358.506000,-171.736000
C17,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,374.293000,-163.925000
C18,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,370.315000,-163.922000
C19,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,391.636000,-171.736000
C20,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,395.597000,-171.736000
C21,C1710,90.0,90.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,86.000000,-74.550000
C30,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,20.850000,-56.000000
C31,C49678,270.0,270.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,368.536000,-173.282000
C32,C3445915,270.0,270.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,284.000000,-89.250000
C33,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,267.675000,-51.500000
C34,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,267.675000,-46.500000
C35,C307331,0,0.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,265.920000,-61.200000
C36,C49678,0,0.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,278.050000,-69.000000
C37,C107121,0,0.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,282.050000,-65.000000
C38,C138687,0,0.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,270.325000,-51.500000
C39,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,141.675000,-61.500000
C40,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,141.675000,-56.500000
C41,C307331,0,0.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,139.920000,-71.200000
C42,C73142,0,0.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,152.050000,-79.000000
C43,C62774,0,0.0,2,0.049998,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,156.050000,-75.000000
C44,C138687,0,0.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,144.325000,-61.500000
C45,C307331,180.0,180.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,272.080000,-61.200000
C46,C138687,0,0.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,274.525000,-58.000000
C47,C307331,0,0.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,268.000000,-55.450000
C48,C307331,180.0,180.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,270.000000,-54.350000
C49,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,262.475000,-51.500000
C50,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,262.475000,-46.500000
C51,C138687,0,0.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,270.325000,-46.500000
C52,C307331,180.0,180.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,146.080000,-71.200000
C53,C138687,0,0.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,148.525000,-68.000000
C54,C307331,0,0.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,142.000000,-65.450000
C55,C307331,180.0,180.0,2,0.059884,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,144.000000,-64.350000
C56,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,136.475000,-61.500000
C57,C138687,180.0,180.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,136.475000,-56.500000
C58,C138687,0,0.0,2,0.042396,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,144.325000,-56.500000
C59,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,320.833000,-68.345000
C60,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,395.944000,-127.527000
C61,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,357.299000,-127.863000
C62,C443892,270.0,270.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,342.000000,-12.250000
C63,C443892,0,0.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,24.250000,-75.000000
C64,C3445915,270.0,270.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,344.000000,-89.250000
C65,C3445915,270.0,270.0,2,0.000056,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,304.000000,-89.250000
D1,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,218.385000,-156.116000
D2,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,218.385000,-182.522000
D3,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,218.385000,-208.918000
D5,C460944,0,0.0,2,0.286302,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,159.982000,-156.209000
D6,C460944,0,0.0,2,0.286302,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,159.982000,-182.615000
D7,C460944,0,0.0,2,0.286302,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,159.982000,-209.023000
D8,C460944,0,0.0,2,0.286302,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,159.982000,-235.427000
D9,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,194.913000,-156.116000
D10,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,194.913000,-182.522000
D11,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,194.913000,-208.918000
D12,C95872,0,0.0,2,0.199894,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,194.913000,-235.334000
D17,C460944,0,0.0,2,0.286302,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,240.708000,-156.209000
D18,C460944,0,0.0,2,0.286302,0,Functional pad orientation checked,Centered land pattern; SMT pad lengths may differ. Does not certify live JLC 3D model or absolute placement.,240.708000,-182.615000
