Designator,Old_rotation,New_rotation,Old_X,New_X,Old_Y,New_Y
D105,0.000000,270.000000,290.000000,290.000000,-114.000000,-114.000000
D106,180.000000,90.000000,311.000000,311.000000,-114.000000,-114.000000
D107,180.000000,90.000000,290.000000,290.000000,-128.000000,-128.000000
D108,0.000000,270.000000,311.000000,311.000000,-128.000000,-128.000000
D109,0.000000,270.000000,281.000000,281.000000,-12.000000,-12.000000
D110,180.000000,90.000000,302.000000,302.000000,-12.000000,-12.000000
D111,180.000000,90.000000,281.000000,281.000000,-26.000000,-26.000000
D112,0.000000,270.000000,302.000000,302.000000,-26.000000,-26.000000
D113,270.000000,180.000000,17.000000,17.000000,-40.000000,-40.000000
D114,270.000000,180.000000,30.400000,30.400000,-40.000000,-40.000000
D115,90.000000,0.000000,17.000000,17.000000,-19.000000,-19.000000
D116,90.000000,0.000000,30.400000,30.400000,-19.000000,-19.000000
J101,270.000000,90.000000,433.238000,431.206000,-113.168000,-113.168000
J102,270.000000,90.000000,433.238000,431.206000,-65.554000,-65.554000
J103,270.000000,270.000000,433.318000,432.073000,-33.950000,-33.950000
J104,180.000000,180.000000,400.532000,400.532000,-9.548000,-10.793000
J105,180.000000,180.000000,400.532000,400.532000,-32.181000,-33.426000
J106,180.000000,180.000000,222.229000,222.229000,-10.386000,-11.631000
J107,0.000000,180.000000,217.786000,217.786000,-32.680000,-34.712000
J108,0.000000,0.000000,198.757000,198.757000,-10.386000,-11.631000
J109,0.000000,180.000000,161.034000,161.034000,-10.466000,-12.498000
J110,0.000000,180.000000,122.222000,122.222000,-10.466000,-12.498000
J111,0.000000,180.000000,82.403000,82.403000,-15.907000,-15.907000
J112,180.000000,180.000000,59.350000,59.350000,-10.386000,-11.631000
J114,90.000000,270.000000,6.340000,8.372000,-175.369000,-175.369000
J115A,90.000000,270.000000,6.340000,8.372000,-235.702000,-235.702000
J115B,90.000000,270.000000,6.340000,8.372000,-211.942000,-211.942000
J116,180.000000,180.000000,22.047000,22.047000,-249.063000,-247.818000
J117,180.000000,180.000000,22.047000,22.047000,-266.650000,-265.405000
J118,180.000000,180.000000,41.327000,41.327000,-249.063000,-247.818000
J119,180.000000,180.000000,42.585000,42.585000,-266.650000,-265.405000
J120,180.000000,0.000000,90.199000,90.199000,-248.983000,-246.951000
J121,180.000000,0.000000,79.218000,79.218000,-266.570000,-264.538000
J122,180.000000,0.000000,128.509000,128.509000,-266.570000,-264.538000
J123,0.000000,0.000000,129.180000,129.180000,-249.063000,-247.818000
J124,0.000000,0.000000,152.903000,152.903000,-249.063000,-247.818000
J125,180.000000,0.000000,202.362000,202.362000,-248.983000,-246.951000
J126,180.000000,0.000000,199.176000,199.176000,-266.570000,-264.538000
J127,180.000000,0.000000,252.491000,252.491000,-248.983000,-246.951000
J128,0.000000,0.000000,244.947000,244.947000,-266.650000,-265.405000
J129,0.000000,0.000000,267.580000,267.580000,-266.650000,-265.405000
J130,180.000000,0.000000,306.477000,306.477000,-248.983000,-246.951000
J131,0.000000,0.000000,306.393000,306.393000,-266.650000,-265.405000
J132,0.000000,0.000000,331.541000,331.541000,-266.650000,-265.405000
J133,0.000000,0.000000,359.205000,359.205000,-245.419000,-244.461500
J134,0.000000,0.000000,359.205000,359.205000,-258.412000,-257.454500
J135,0.000000,0.000000,359.205000,359.205000,-268.130000,-267.172500
J136,180.000000,180.000000,380.413000,380.413000,-266.650000,-265.405000
J137,180.000000,0.000000,406.819000,406.819000,-248.145000,-246.113000
J138,180.000000,0.000000,406.819000,406.819000,-266.570000,-264.538000
Q9,270.000000,90.000000,140.496000,140.496000,-208.423000,-208.423000
Q11,270.000000,90.000000,60.189000,60.189000,-158.526000,-158.526000
Q13,270.000000,90.000000,97.744000,97.744000,-131.720000,-131.720000
Q15,270.000000,90.000000,99.420000,99.420000,-182.855000,-182.855000
Q17,270.000000,90.000000,140.496000,140.496000,-156.868000,-156.868000
Q20,0.000000,180.000000,164.435000,164.435000,-147.327000,-147.327000
Q22,0.000000,180.000000,164.435000,164.435000,-173.733000,-173.733000
Q24,0.000000,180.000000,164.435000,164.435000,-200.139000,-200.139000
Q26,0.000000,180.000000,164.435000,164.435000,-226.545000,-226.545000
