Upload_designator,Native_reference,Source_BOM_designator,LCSC_part,Assembly,Native_footprint,Actual_X_mm,Actual_Y_mm,CPL_X_mm,CPL_Y_mm,Rotation_deg,Native_rotation_deg,Library_rotation_offset_deg,Center_basis,Assembly_note
B1,B1,B1,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,152.903000,-121.551000,152.903000,-121.551000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B2,B2,B2,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,172.100000,-121.551000,172.100000,-121.551000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B3,B3,B3,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,191.380000,-121.551000,191.380000,-121.551000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B4,B4,B4,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,222.229000,-121.551000,222.229000,-121.551000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B5,B5,B5,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,261.796000,-121.551000,261.796000,-121.551000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B6,B6,B6,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,98.750000,-79.820000,98.750000,-79.820000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B9,B9,B9,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,345.318000,-121.970000,345.318000,-121.970000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B10,B10,B10,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,340.502000,-149.634000,340.502000,-149.634000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B11,B11,B11,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,360.919000,-149.634000,360.919000,-149.634000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B12,B12,B12,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,382.142000,-149.634000,382.142000,-149.634000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B13,B13,B13,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,383.500000,-146.000000,383.500000,-146.000000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B15,B15,B15,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,350.582000,-161.649000,350.582000,-161.649000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B16,B16,B16,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,387.675000,-173.022000,387.675000,-173.022000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
B18,B18,B18,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,416.879000,-155.031000,416.879000,-155.031000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
