Reference,Positions,Omit_pin,MPN,Net_at_key
J101,7,3,640445-7,unconnected-(J101-Pin_3-Pad3)
J102,9,7,640445-9,unconnected-(J102-Pin_7-Pad7)
J103,4,,26604040,
J104,5,3,26604050,unconnected-(J104-Pin_3-Pad3)
J105,5,3,26604050,unconnected-(J105-Pin_3-Pad3)
J106,5,4,26604050,unconnected-(J106-Pin_4-Pad4)
J107,6,4,640445-6,unconnected-(J107-Pin_4-Pad4)
J108,3,,26604030,
J109,7,6,640445-7,unconnected-(J109-Pin_6-Pad6)
J110,9,5,640445-9,unconnected-(J110-Pin_5-Pad5)
J111,5,4,22232051,unconnected-(J111-Pin_4-Pad4)
J112,5,4,26604050,unconnected-(J112-Pin_4-Pad4)
J113,34,,EH254V-12-34P,
J114,7,6,640445-7,unconnected-(J114-Pin_6-Pad6)
J115,12,9,640445-6,unconnected-(J115-Pin_9-Pad9)
J116,4,1,26604040,unconnected-(J116-Pin_1-Pad1)
J117,4,1,26604040,unconnected-(J117-Pin_1-Pad1)
J118,4,1,26604040,unconnected-(J118-Pin_1-Pad1)
J119,3,2,26604030,unconnected-(J119-Pin_2-Pad2)
J120,11,4,1-640445-3,unconnected-(J120-Pin_4-Pad4)
J121,11,4,1-640445-3,unconnected-(J121-Pin_4-Pad4)
J122,9,7,640445-9,unconnected-(J122-Pin_7-Pad7)
J123,5,2,26604050,unconnected-(J123-Pin_2-Pad2)
J124,5,4,26604050,unconnected-(J124-Pin_4-Pad4)
J125,9,4,640445-9,unconnected-(J125-Pin_4-Pad4)
J126,13,9,1-640445-3,unconnected-(J126-Pin_9-Pad9)
J127,9,2,640445-9,unconnected-(J127-Pin_2-Pad2)
J128,5,4,26604050,unconnected-(J128-Pin_4-Pad4)
J129,5,3,26604050,unconnected-(J129-Pin_3-Pad3)
J130,9,3,640445-9,unconnected-(J130-Pin_3-Pad3)
J131,5,2,26604050,unconnected-(J131-Pin_2-Pad2)
J132,5,4,26604050,unconnected-(J132-Pin_4-Pad4)
J133,9,3,1-640456-0,unconnected-(J133-Pin_3-Pad3)
J134,9,3,1-640456-0,unconnected-(J134-Pin_3-Pad3)
J135,9,3,1-640456-0,unconnected-(J135-Pin_3-Pad3)
J136,3,1,26604030,unconnected-(J136-Pin_1-Pad1)
J137,9,8,640445-9,unconnected-(J137-Pin_8-Pad8)
J138,9,8,640445-9,unconnected-(J138-Pin_8-Pad8)
