Designator,Parent,JLCPCB_part,MPN,X_mm,Y_mm,Parent_rotation_deg,Note
F103A,F103,C3029536,3517,196.494,-56.541,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F103B,F103,C3029536,3517,196.494,-72.891,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F104A,F104,C3029536,3517,211.834,-56.541,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F104B,F104,C3029536,3517,211.834,-72.891,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F105A,F105,C3029536,3517,227.343,-56.541,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F105B,F105,C3029536,3517,227.343,-72.891,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F111A,F111,C3029536,3517,392.776,-46.525,0,Clip center between its two pins; orient retaining end away from fuse center
F111B,F111,C3029536,3517,409.126,-46.525,0,Clip center between its two pins; orient retaining end away from fuse center
F112A,F112,C3029536,3517,392.776,-61.614,0,Clip center between its two pins; orient retaining end away from fuse center
F112B,F112,C3029536,3517,409.126,-61.614,0,Clip center between its two pins; orient retaining end away from fuse center
F113A,F113,C3029536,3517,392.776,-76.451,0,Clip center between its two pins; orient retaining end away from fuse center
F113B,F113,C3029536,3517,409.126,-76.451,0,Clip center between its two pins; orient retaining end away from fuse center
F114A,F114,C3029536,3517,392.776,-91.373,0,Clip center between its two pins; orient retaining end away from fuse center
F114B,F114,C3029536,3517,409.126,-91.373,0,Clip center between its two pins; orient retaining end away from fuse center
F115A,F115,C3029536,3517,83.282,-92.63,0,Clip center between its two pins; orient retaining end away from fuse center
F115B,F115,C3029536,3517,99.632,-92.63,0,Clip center between its two pins; orient retaining end away from fuse center
F116A,F116,C3029536,3517,57.255,-32.482,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F116B,F116,C3029536,3517,57.255,-48.832,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F101A,F101,C3029536,3517,165.142,-56.541,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F101B,F101,C3029536,3517,165.142,-72.891,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F102A,F102,C3029536,3517,180.483,-56.541,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F102B,F102,C3029536,3517,180.483,-72.891,-90.0,Clip center between its two pins; orient retaining end away from fuse center
F106A,F106,C3029536,3517,24.77,-233.211,0,Clip center between its two pins; orient retaining end away from fuse center
F106B,F106,C3029536,3517,41.12,-233.211,0,Clip center between its two pins; orient retaining end away from fuse center
F107A,F107,C3029536,3517,24.77,-218.624,0,Clip center between its two pins; orient retaining end away from fuse center
F107B,F107,C3029536,3517,41.12,-218.624,0,Clip center between its two pins; orient retaining end away from fuse center
F108A,F108,C3029536,3517,24.77,-204.038,0,Clip center between its two pins; orient retaining end away from fuse center
F108B,F108,C3029536,3517,41.12,-204.038,0,Clip center between its two pins; orient retaining end away from fuse center
F109A,F109,C3029536,3517,69.618,-218.624,0,Clip center between its two pins; orient retaining end away from fuse center
F109B,F109,C3029536,3517,85.968,-218.624,0,Clip center between its two pins; orient retaining end away from fuse center
F110A,F110,C3029536,3517,69.618,-233.211,0,Clip center between its two pins; orient retaining end away from fuse center
F110B,F110,C3029536,3517,85.968,-233.211,0,Clip center between its two pins; orient retaining end away from fuse center
