Designator,Mid X,Mid Y,Layer,Rotation
B1,152.903000,-121.551000,Top,270.000000
B2,172.100000,-121.551000,Top,270.000000
B3,191.380000,-121.551000,Top,270.000000
B4,222.229000,-121.551000,Top,270.000000
B5,261.796000,-121.551000,Top,270.000000
B6,98.750000,-79.820000,Top,270.000000
B9,345.318000,-121.970000,Top,270.000000
B10,340.502000,-149.634000,Top,270.000000
B11,360.919000,-149.634000,Top,270.000000
B12,382.142000,-149.634000,Top,270.000000
B13,383.500000,-146.000000,Top,270.000000
B15,350.582000,-161.649000,Top,270.000000
B16,387.675000,-173.022000,Top,270.000000
B18,416.879000,-155.031000,Top,270.000000
B19,420.850000,-157.178000,Top,270.000000
C13,337.175000,-172.686000,Top,270.000000
C14,333.165000,-172.686000,Top,270.000000
C15,354.544000,-161.646000,Top,270.000000
C16,358.506000,-172.686000,Top,270.000000
C17,374.293000,-164.875000,Top,270.000000
C18,370.315000,-164.872000,Top,270.000000
C19,391.636000,-172.686000,Top,270.000000
C20,395.597000,-172.686000,Top,270.000000
C21,86.000000,-73.600000,Top,90.000000
C31,368.536000,-174.232000,Top,270.000000
C33,278.723000,-57.842000,Top,0.000000
C34,272.108000,-56.950000,Top,0.000000
C35,282.922000,-71.254000,Top,270.000000
C36,263.552000,-75.631000,Top,270.000000
C37,262.642000,-70.181000,Top,270.000000
C38,243.061000,-71.414000,Top,270.000000
C39,149.702000,-67.063000,Top,0.000000
C40,143.052000,-67.063000,Top,0.000000
C41,153.813000,-82.241000,Top,270.000000
C42,137.084000,-82.594000,Top,270.000000
C43,118.080000,-84.021000,Top,270.000000
C44,117.497000,-77.971000,Top,270.000000
D1,220.385000,-156.116000,Top,0.000000
D2,220.385000,-182.522000,Top,0.000000
D3,220.385000,-208.918000,Top,0.000000
D5,163.382000,-156.209000,Top,0.000000
D6,163.382000,-182.615000,Top,0.000000
D7,163.382000,-209.023000,Top,0.000000
D8,163.382000,-235.427000,Top,0.000000
D9,196.913000,-156.116000,Top,0.000000
D10,196.913000,-182.522000,Top,0.000000
D11,196.913000,-208.918000,Top,0.000000
D12,196.913000,-235.334000,Top,0.000000
D17,244.108000,-156.209000,Top,0.000000
D18,244.108000,-182.615000,Top,0.000000
D19,244.108000,-209.023000,Top,0.000000
D20,244.108000,-235.427000,Top,0.000000
D21,265.904000,-156.209000,Top,0.000000
D22,265.904000,-182.615000,Top,0.000000
D23,265.904000,-209.023000,Top,0.000000
D24,265.904000,-235.427000,Top,0.000000
D25,286.861000,-159.827000,Top,0.000000
D26,286.861000,-185.412000,Top,0.000000
D27,286.861000,-210.977000,Top,0.000000
D28,286.861000,-236.556000,Top,0.000000
D29,311.422000,-159.827000,Top,0.000000
D30,311.422000,-185.412000,Top,0.000000
D31,311.422000,-210.977000,Top,0.000000
D32,311.422000,-236.556000,Top,0.000000
D33,352.108000,-166.520000,Top,0.000000
D34,351.912000,-170.842000,Top,0.000000
D36,269.002000,-65.508000,Top,270.000000
D37,143.444000,-78.264000,Top,270.000000
D38,220.385000,-235.334000,Top,0.000000
D105,290.000000,-114.000000,Top,0.000000
D106,311.000000,-114.000000,Top,180.000000
D107,290.000000,-128.000000,Top,180.000000
D108,311.000000,-128.000000,Top,0.000000
D109,281.000000,-12.000000,Top,0.000000
D110,302.000000,-12.000000,Top,180.000000
D111,281.000000,-26.000000,Top,180.000000
D112,302.000000,-26.000000,Top,0.000000
D113,17.000000,-40.000000,Top,270.000000
D114,30.400000,-40.000000,Top,270.000000
D115,17.000000,-19.000000,Top,90.000000
