Ref,Val,Package,PosX,PosY,Rot,Side
"B1","100nF","C_0805_2012Metric",152.903000,-121.551000,-90.000000,top
"B2","100nF","C_0805_2012Metric",172.100000,-121.551000,-90.000000,top
"B3","100nF","C_0805_2012Metric",191.380000,-121.551000,-90.000000,top
"B4","100nF","C_0805_2012Metric",222.229000,-121.551000,-90.000000,top
"B5","100nF","C_0805_2012Metric",261.796000,-121.551000,-90.000000,top
"B6","100nF","C_0805_2012Metric",98.750000,-79.820000,-90.000000,top
"B9","100nF","C_0805_2012Metric",345.318000,-121.970000,-90.000000,top
"B10","100nF","C_0805_2012Metric",340.502000,-149.634000,-90.000000,top
"B11","100nF","C_0805_2012Metric",360.919000,-149.634000,-90.000000,top
"B12","100nF","C_0805_2012Metric",382.142000,-149.634000,-90.000000,top
"B13","100nF","C_0805_2012Metric",383.500000,-146.000000,-90.000000,top
"B15","100nF","C_0805_2012Metric",350.582000,-161.649000,-90.000000,top
"B16","100nF","C_0805_2012Metric",387.675000,-173.022000,-90.000000,top
"B18","100nF","C_0805_2012Metric",416.879000,-155.031000,-90.000000,top
"B19","100nF","C_0805_2012Metric",420.850000,-157.178000,-90.000000,top
"BR3","GBPC3510","Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm",254.588000,-14.304000,-90.000000,top
"C2","330uF","CP_Radial_D8.0mm_P5.00mm",133.484000,-60.186000,-90.000000,top
"C4","330uF","CP_Radial_D8.0mm_P5.00mm",254.418000,-78.923000,-90.000000,top
"C5","10000uF 35V","CP_Radial_D26.0mm_P10.00mm_SnapIn",324.583000,-53.345000,-90.000000,top
"C6","10000uF 35V","CP_Radial_D26.0mm_P10.00mm_SnapIn",394.694000,-117.527000,0.000000,top
"C7","10000uF 35V","CP_Radial_D26.0mm_P10.00mm_SnapIn",356.049000,-117.863000,0.000000,top
"C8","2200uF 100V","CP_Radial_D25.0mm_P10.00mm_SnapIn",326.508000,-88.469000,-90.000000,top
"C9","330uF","CP_Radial_D8.0mm_P5.00mm",241.868000,-78.895000,-90.000000,top
"C11","10000uF 35V","CP_Radial_D26.0mm_P10.00mm_SnapIn",325.951000,-16.460000,-90.000000,top
"C12","330uF","CP_Radial_D8.0mm_P5.00mm",113.847000,-65.890000,-90.000000,top
"C13","100nF","C_0805_2012Metric",337.175000,-172.686000,-90.000000,top
"C14","100nF","C_0805_2012Metric",333.165000,-172.686000,-90.000000,top
"C15","100nF","C_0805_2012Metric",354.544000,-161.646000,-90.000000,top
"C16","100nF","C_0805_2012Metric",358.506000,-172.686000,-90.000000,top
"C17","100nF","C_0805_2012Metric",374.293000,-164.875000,-90.000000,top
"C18","100nF","C_0805_2012Metric",370.315000,-164.872000,-90.000000,top
"C19","100nF","C_0805_2012Metric",391.636000,-172.686000,-90.000000,top
"C20","100nF","C_0805_2012Metric",395.597000,-172.686000,-90.000000,top
"C21","10nF","C_0805_2012Metric",86.000000,-73.600000,90.000000,top
"C30","10000uF 35V","CP_Radial_D26.0mm_P10.00mm_SnapIn",16.600000,-57.000000,-90.000000,top
"C31","100nF","C_0805_2012Metric",368.536000,-174.232000,-90.000000,top
"C32","2200uF 100V","CP_Radial_D25.0mm_P10.00mm_SnapIn",299.000000,-89.056000,-90.000000,top
"C33","10uF","C_1210_3225Metric",278.723000,-57.842000,0.000000,top
"C34","10uF","C_1210_3225Metric",272.108000,-56.950000,0.000000,top
"C35","100nF","C_0805_2012Metric",282.922000,-71.254000,-90.000000,top
"C36","33nF","C_0805_2012Metric",263.552000,-75.631000,-90.000000,top
"C37","470pF","C_0805_2012Metric",262.642000,-70.181000,-90.000000,top
"C38","10uF","C_1210_3225Metric",243.061000,-71.414000,-90.000000,top
"C39","10uF","C_1210_3225Metric",149.702000,-67.063000,0.000000,top
"C40","10uF","C_1210_3225Metric",143.052000,-67.063000,0.000000,top
"C41","100nF","C_0805_2012Metric",153.813000,-82.241000,-90.000000,top
"C42","100nF","C_0805_2012Metric",137.084000,-82.594000,-90.000000,top
"C43","390pF","C_0805_2012Metric",118.080000,-84.021000,-90.000000,top
"C44","10uF","C_1210_3225Metric",117.497000,-77.971000,-90.000000,top
"D1","M7","D_SMA",220.385000,-156.116000,0.000000,top
"D2","M7","D_SMA",220.385000,-182.522000,0.000000,top
"D3","M7","D_SMA",220.385000,-208.918000,0.000000,top
"D5","S3M-13-F","D_SMC",163.382000,-156.209000,0.000000,top
"D6","S3M-13-F","D_SMC",163.382000,-182.615000,0.000000,top
"D7","S3M-13-F","D_SMC",163.382000,-209.023000,0.000000,top
"D8","S3M-13-F","D_SMC",163.382000,-235.427000,0.000000,top
"D9","M7","D_SMA",196.913000,-156.116000,0.000000,top
"D10","M7","D_SMA",196.913000,-182.522000,0.000000,top
"D11","M7","D_SMA",196.913000,-208.918000,0.000000,top
"D12","M7","D_SMA",196.913000,-235.334000,0.000000,top
"D17","S3M-13-F","D_SMC",244.108000,-156.209000,0.000000,top
"D18","S3M-13-F","D_SMC",244.108000,-182.615000,0.000000,top
"D19","S3M-13-F","D_SMC",244.108000,-209.023000,0.000000,top
"D20","S3M-13-F","D_SMC",244.108000,-235.427000,0.000000,top
"D21","S3M-13-F","D_SMC",265.904000,-156.209000,0.000000,top
"D22","S3M-13-F","D_SMC",265.904000,-182.615000,0.000000,top
"D23","S3M-13-F","D_SMC",265.904000,-209.023000,0.000000,top
"D24","S3M-13-F","D_SMC",265.904000,-235.427000,0.000000,top
