Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
BR3,1,GBPC3510,Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm,Vishay Intertech,GBPC3510W-E4/51,"Bridge rectifier 35 A 1000 V, GBPC-W (28.6 mm square block, wire leads, #10 centre hole, metal base up when PCB-mounted)",https://jlcpcb.com/partdetail/VishayIntertech-GBPC3510W_E451/C435891,
C2,1,330uF,wpc_cost:CP_Radial_D8.0mm_P5.00mm,PANASONIC,EEU-FR1E331B,Output capacitor 330 uF 25 V low ESR,https://jlcpcb.com/partdetail/PANASONIC-EEUFR1E331B/C1579638,
C4,1,330uF,wpc_cost:CP_Radial_D8.0mm_P5.00mm,PANASONIC,EEU-FR1E331B,Output capacitor 330 uF 25 V low ESR,https://jlcpcb.com/partdetail/PANASONIC-EEUFR1E331B/C1579638,
C5,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://jlcpcb.com/partdetail/TDK-B41252A7109M000/C6130373,
C6,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://jlcpcb.com/partdetail/TDK-B41252A7109M000/C6130373,
C7,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://jlcpcb.com/partdetail/TDK-B41252A7109M000/C6130373,
C8,1,2200uF 100V,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,Nichicon,LLS2A222MELA,Capacitor 2200 uF 100 V snap-in 25x40 mm,https://jlcpcb.com/partdetail/Nichicon-LLS2A222MELA/C1582025,
C9,1,330uF,wpc_cost:CP_Radial_D8.0mm_P5.00mm,PANASONIC,EEU-FR1E331B,Output capacitor 330 uF 25 V low ESR,https://jlcpcb.com/partdetail/PANASONIC-EEUFR1E331B/C1579638,
C11,1,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://jlcpcb.com/partdetail/TDK-B41252A7109M000/C6130373,
C12,1,330uF,wpc_cost:CP_Radial_D8.0mm_P5.00mm,PANASONIC,EEU-FR1E331B,Output capacitor 330 uF 25 V low ESR,https://jlcpcb.com/partdetail/PANASONIC-EEUFR1E331B/C1579638,
