Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
Heatsinks Q10 Q12 Q14 Q16 Q18,5,HS7020,Mechanical,Boyd (Aavid),7020BG,"Heatsink TO-220 bolt-on narrow channel with folded-back fins, 8.7 C/W, 33.0 x 11.9 x 36.8 mm, no PCB tabs (device screw only; #6 / M3 hole of the GBJ / GBU bridges)",https://www.digikey.com/en/products/detail/aavid-thermal-division-of-boyd-corporation/7020BG/1625705,
Heatsink BR3,1,HS6224,Mechanical,Boyd (Aavid),6223BG,"Heatsink square basket for bridge rectifiers, 9.4 C/W, 26.92 mm sq x 31.75 mm, 4.14 mm hole (M4 close clearance), sits on the metal base of the GBPC block",https://www.digikey.com/en/products/detail/boyd-laconia-llc/6223BG/1625608,
Heatsinks D101 D102 D103 D104,4,HS5772,Mechanical,Boyd (Aavid),577202B00000G,"TO-220 channel heatsink 13.21 x 12.70 x 19.05 mm, 24.4 C/W natural convection, direct tab mount; electrically live",https://www.digikey.com/en/products/detail/boyd-laconia-llc/577202B00000G/108322,
BR1 hardware,4,M3X8,Mechanical,BFirst Industrial,MPMS 003 0008 PH,"Screw M3 x 8 mm pan head Phillips, zinc; BR1 rectifier heatsinks",https://www.digikey.com/en/products/detail/bfirst-industrial/MPMS-003-0008-PH/274954,
BR1 hardware,4,M3NUT,Mechanical,B&F Fastener Supply,MHNZ 003,"Hex nut M3, zinc",https://www.digikey.com/en/products/result?keywords=MHNZ 003,
Assembly consumable; one syringe per build batch,1,THERMALPASTE,Mechanical,MG Chemicals,8616-3ML,"Silicone-free thermal paste, 3 mL syringe; thin bond line at all rectifier/triac heatsink interfaces, consumable per build batch",https://www.digikey.com/en/products/detail/mg-chemicals/8616-3ML/4899944,
Triac hardware,5,M3X12,Mechanical,B&F Fastener Supply,MPMS 003 0012 PH,"Screw M3 x 12 mm pan head Phillips, zinc (heatsink to TO-220 / GBJ / GBU)",https://www.digikey.com/en/products/result?keywords=MPMS 003 0012 PH,
Triac hardware,5,M3NUT,Mechanical,B&F Fastener Supply,MHNZ 003,"Hex nut M3, zinc",https://www.digikey.com/en/products/result?keywords=MHNZ 003,
BR3/H9 hardware,1,M4X16,Mechanical,Kanebridge,MJ416MPP,"M4 x 16 mm JIS-B1111 Phillips pan screw, zinc steel; 6.75 mm head diameter, 2.60 mm head height; BR3 / 6223BG hardware; distributor carton MOQ may exceed one-board quantity",https://legacy.kanebridge.com/kaneprls.asp?SellCode=MJ-MPP,
BR3 hardware,1,M4NUT,Mechanical,B&F Fastener Supply,MHNZ 004,"Hex nut M4, zinc",https://www.digikey.com/en/products/result?keywords=MHNZ 004,
