Designator,Quantity,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly
B1,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B2,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B3,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B4,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B5,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B6,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B9,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B10,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B11,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B12,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B13,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B15,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B16,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B18,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
B19,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
BR3,1,GBPC3510,GBPC3510W-E4/51,Vishay Intertech,Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm,C435891,Extended,Through-hole/manual
C2,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C4,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C5,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C6,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C7,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C8,1,2200uF 100V,LLS2A222MELA,Nichicon,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,C1582025,Extended,Through-hole/manual
C9,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C11,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C12,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C13,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C14,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C15,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C16,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C17,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C18,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C19,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C20,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C21,1,10nF,CL21B103KBANNNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0805_2012Metric,C1710,Basic,SMT
C30,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C31,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C32,1,2200uF 100V,LLS2A222MELA,Nichicon,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,C1582025,Extended,Through-hole/manual
C33,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C34,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C35,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C36,1,100nF,CC0805KRX7R9BB104,YAGEO,Capacitor_SMD:C_0805_2012Metric,C49678,Basic,SMT
C37,1,680pF,CC0805JRNPO9BN681,YAGEO,Capacitor_SMD:C_0805_2012Metric,C107121,Extended,SMT
C38,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C39,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C40,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C41,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
C42,1,330nF,CL21B334KBFNNNE,Samsung Electro-Mechanics,Capacitor_SMD:C_0805_2012Metric,C73142,Extended,SMT
C43,1,1nF,CC0805JRNPO9BN102,YAGEO,Capacitor_SMD:C_0805_2012Metric,C62774,Extended,SMT
C44,1,10uF,CL32B106KBJNNWE,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,C3844168,Extended,SMT
C45,1,100nF,GRM155R71H104KE14D,Murata Electronics,Capacitor_SMD:C_0402_1005Metric,C77020,Extended,SMT
