Designator,Quantity,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Stock_snapshot,Purchasing_status,Catalog_URL,Fetched_UTC
U9,1,74HCT240,SN74HCT240DWR,Texas Instruments,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,C132264,Extended,SMT,7,Stock covers one board,https://jlcpcb.com/partdetail/C132264,2026-09-11T19:22:25.862750+00:00
R263 R269,2,240K,RC0805FR-07240KL,YAGEO,Resistor_SMD:R_0805_2012Metric,C137564,Extended,SMT,25508,Stock covers one board,https://jlcpcb.com/partdetail/C137564,2026-09-11T20:02:26.173764+00:00
F103 F104 F105 F116,4,3A S.B.,0239003.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C142824,Extended,Through-hole/manual,524,Stock covers one board,https://jlcpcb.com/partdetail/C142824,2026-09-11T20:02:26.613094+00:00
F106 F107 F108 F109 F110 F111 F113,7,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual,250,Stock covers one board,https://jlcpcb.com/partdetail/C151086,2026-09-11T20:02:27.581069+00:00
Q9 Q11 Q13 Q15 Q17,5,MMBT4401,MMBT4401-7-F,Diodes Incorporated,Package_TO_SOT_SMD:SOT-23,C151826,Extended,SMT,16903,Stock covers one board,https://jlcpcb.com/partdetail/C151826,2026-09-11T20:02:28.129072+00:00
C2 C4 C9 C12,4,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual,48,Stock covers one board,https://jlcpcb.com/partdetail/C1579638,2026-09-11T19:12:51.389193+00:00
C8 C32,2,2200uF 100V,LLS2A222MELA,Nichicon,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,C1582025,Extended,Through-hole/manual,0,Preorder / replenish; confirm lead time and minimum order,https://jlcpcb.com/partdetail/C1582025,2026-09-11T19:20:34.010752+00:00
U19,1,TBD62083AFWG,"TBD62083AFWG,EL",TOSHIBA,Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,C165895,Extended,SMT,1582,Stock covers one board,https://jlcpcb.com/partdetail/C165895,2026-09-11T20:02:29.919502+00:00
C21,1,10nF,CL21B103KBANNNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0805_2012Metric,C1710,Basic,SMT,2881323,Stock covers one board,https://jlcpcb.com/partdetail/C1710,2026-09-11T19:22:13.225917+00:00
J126,1,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),0026604130,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0013_1x13_P3.96mm_Vertical,C17226055,Extended,Through-hole/manual,89,Stock covers one board,https://jlcpcb.com/partdetail/C17226055,2026-09-11T20:02:29.828856+00:00
C36,1,33nF,0805B333K500NT,FH (Guangdong Fenghua Advanced Tech),Capacitor_SMD:C_0805_2012Metric,C1739,Basic,SMT,120766,Stock covers one board,https://jlcpcb.com/partdetail/C1739,2026-09-11T19:22:14.265006+00:00
R22 R26 R30 R34 R38 R42 R46 R50 R54 R58 R62 R66 R70 R74 R78 R82 R86 R90 R94 R98 R127 R129 R131 R133 R135 R137 R139 R141 R155 R157 R159 R161 R165 R167 R169 R171,36,100,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),Resistor_SMD:R_0805_2012Metric,C17408,Basic,SMT,10207952,Stock covers one board,https://jlcpcb.com/partdetail/C17408,2026-09-11T19:22:15.773296+00:00
