Designator,Quantity,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly
BR3,1,GBPC3510,GBPC3510W-E4/51,Vishay Intertech,Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm,C435891,Extended,Through-hole/manual
C2,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C4,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C5,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C6,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C7,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C8,1,2200uF 100V,LLS2A222MELA,Nichicon,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,C1582025,Extended,Through-hole/manual
C9,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C11,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C12,1,330uF,EEU-FR1E331B,PANASONIC,wpc_cost:CP_Radial_D8.0mm_P5.00mm,C1579638,Extended,Through-hole/manual
C30,1,10000uF 35V,B41252A7109M000,TDK,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,C6130373,Extended,Through-hole/manual
C32,1,2200uF 100V,LLS2A222MELA,Nichicon,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,C1582025,Extended,Through-hole/manual
D101,1,STPS20M100ST,STPS20M100ST,STMicroelectronics,wpc_cost:TO220_Schottky_AKA_5772,C222114,Extended,Through-hole/manual
D102,1,STPS20M100ST,STPS20M100ST,STMicroelectronics,wpc_cost:TO220_Schottky_AKA_5772,C222114,Extended,Through-hole/manual
D103,1,STPS20M100ST,STPS20M100ST,STMicroelectronics,wpc_cost:TO220_Schottky_AKA_5772,C222114,Extended,Through-hole/manual
D104,1,STPS20M100ST,STPS20M100ST,STMicroelectronics,wpc_cost:TO220_Schottky_AKA_5772,C222114,Extended,Through-hole/manual
F101,2,no fuse (clips only),3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F102,2,no fuse (clips only),3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F103,1,3A S.B.,0239003.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C142824,Extended,Through-hole/manual
F104,1,3A S.B.,0239003.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C142824,Extended,Through-hole/manual
F105,1,3A S.B.,0239003.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C142824,Extended,Through-hole/manual
F106,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F107,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F108,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F109,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F110,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F111,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F112,1,7A S.B.,0239007.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3161084,Extended,Through-hole/manual
F113,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F114,1,8A,0217008.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C2936126,Extended,Through-hole/manual
