JLCPCB_part,MPN,Quantity_per_board,JLC_public_stock_snapshot,Assembly,Action,Distributor_example
C1582025,LLS2A222MELA,2,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C17541501,26604110,2,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C17656945,0026604060,1,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C222114,STPS20M100ST,4,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C3029536,3517,32,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C3157012,0239.750MXP,1,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C5440942,IPD90N10S4L06ATMA1,28,1,SMT,Source entire per-board quantity plus JLC attrition through Global Sourcing/consignment,https://www.mouser.com/ProductDetail/Infineon-Technologies/IPD90N10S4L06ATMA1?qs=LxJ0xX%2FWJR62lwU%2FrihEDA%3D%3D
C587091,26604070,3,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C6130373,B41252A7109M000,5,0,Through-hole/manual,Procure exact part for through-hole/manual assembly,
C969989,STPS20M100SG-TR,12,2,SMT,Source entire per-board quantity plus JLC attrition through Global Sourcing/consignment,https://www.digikey.com/en/products/detail/stmicroelectronics/STPS20M100SG-TR/2122461
