Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
BR3,1,GBPC3510,Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm,Vishay Intertech,GBPC3510W-E4/51,"Bridge rectifier 35 A 1000 V, GBPC-W (28.6 mm square block, wire leads, #10 centre hole, metal base up when PCB-mounted)",https://jlcpcb.com/partdetail/VishayIntertech-GBPC3510W_E451/C435891,
C2 C4 C9 C12,4,330uF,wpc_cost:CP_Radial_D8.0mm_P5.00mm,PANASONIC,EEU-FR1E331B,Output capacitor 330 uF 25 V low ESR,https://jlcpcb.com/partdetail/PANASONIC-EEUFR1E331B/C1579638,
C5 C6 C7 C11 C30,5,10000uF 35V,Capacitor_THT:CP_Radial_D26.0mm_P10.00mm_SnapIn,TDK,B41252A7109M000,"Capacitor 10000 uF 35 V snap-in 25.4x45 mm, 10 mm pitch, 6.0 mm leads, PVC sleeve, 105C; permissible ripple 7.89 A at 60C / 120 Hz; local ambient <=60C design condition",https://jlcpcb.com/partdetail/TDK-B41252A7109M000/C6130373,
C8 C32,2,2200uF 100V,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,Nichicon,LLS2A222MELA,Capacitor 2200 uF 100 V snap-in 25x40 mm,https://jlcpcb.com/partdetail/Nichicon-LLS2A222MELA/C1582025,
C33 C34 C38 C39 C40 C44 C46 C49 C50 C51 C53 C56 C57 C58,14,10uF,Capacitor_SMD:C_1210_3225Metric,Samsung Electro-Mechanics,CL32B106KBJNNWE,10 uF 50 V X7R input bypass; four parallel capacitors,https://jlcpcb.com/partdetail/4412651-CL32B106KBJNNWE/C3844168,
C35 C41 C45 C47 C48 C52 C54 C55,8,100nF,Capacitor_SMD:C_0402_1005Metric,Murata Electronics,GRM155R71H104KE14D,100 nF 50 V X7R; short local bootstrap / high-frequency loop,https://jlcpcb.com/partdetail/C77020,
C36 B6 B9 B5 B4 B3 B2 B18 B19 B10 B11 B12 B13 B15 B16 C13 C14 C15 C16 C17 C18 C19 C20 C31 B1,25,100nF,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805KRX7R9BB104,TPS552892 compensation series capacitor; TI equation 25,https://jlcpcb.com/partdetail/C49678,
C37,1,680pF,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805JRNPO9BN681,TPS552892 compensation high-frequency pole capacitor; C0G; TI equation 26,https://jlcpcb.com/partdetail/C107121,
C42,1,330nF,Capacitor_SMD:C_0805_2012Metric,Samsung Electro-Mechanics,CL21B334KBFNNNE,TPS552892 compensation series capacitor; TI equation 25,https://jlcpcb.com/partdetail/C73142,
C43,1,1nF,Capacitor_SMD:C_0805_2012Metric,YAGEO,CC0805JRNPO9BN102,TPS552892 compensation high-frequency pole capacitor; C0G; TI equation 26,https://jlcpcb.com/partdetail/C62774,
