 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00 -4.18849685e-12 -2.59866527e-06  2.07959406e-02 -2.61920669e-13 
 1.00000000e-06 -4.18849662e-12 -2.59850975e-06  2.07959406e-02 -2.61904684e-13 
 2.00000000e-06 -4.18849570e-12 -2.59804664e-06  2.07959406e-02 -2.61858611e-13 
 3.00000000e-06 -4.18849399e-12 -2.59726881e-06  2.07959407e-02 -2.61779617e-13 
 4.00000000e-06 -4.18849144e-12 -2.59616839e-06  2.07959409e-02 -2.61668590e-13 
 5.00000000e-06 -4.18848796e-12 -2.59473362e-06  2.07959411e-02 -2.61524017e-13 
 6.00000000e-06 -4.18848348e-12 -2.59294835e-06  2.07959413e-02 -2.61343781e-13 
 7.00000000e-06 -4.18847790e-12 -2.59079163e-06  2.07959416e-02 -2.61126168e-13 
 8.00000000e-06 -4.18847110e-12 -2.58823746e-06  2.07959419e-02 -2.60867935e-13 
 9.00000000e-06 -4.18846296e-12 -2.58525433e-06  2.07959423e-02 -2.60566733e-13 
 1.00000000e-05 -4.18845333e-12 -2.58180482e-06  2.07959428e-02 -2.60218225e-13 
 1.10000000e-05 -4.18844204e-12 -2.57784510e-06  2.07959433e-02 -2.59818522e-13 
 1.20000000e-05 -4.18842889e-12 -2.57332429e-06  2.07959439e-02 -2.59361276e-13 
 1.30000000e-05 -4.18841370e-12 -2.56818377e-06  2.07959446e-02 -2.58842745e-13 
 1.40000000e-05 -4.18839621e-12 -2.56235637e-06  2.07959454e-02 -2.58253805e-13 
 1.50000000e-05 -4.18837613e-12 -2.55576544e-06  2.07959463e-02 -2.57588310e-13 
 1.60000000e-05 -4.18835318e-12 -2.54832382e-06  2.07959473e-02 -2.56836666e-13 
 1.70000000e-05 -4.18832699e-12 -2.53993259e-06  2.07959484e-02 -2.55989732e-13 
 1.80000000e-05 -4.18829718e-12 -2.53047974e-06  2.07959496e-02 -2.55034556e-13 
 1.90000000e-05 -4.18826332e-12 -2.51983861e-06  2.07959510e-02 -2.53960249e-13 
 2.00000000e-05 -4.18822490e-12 -2.50786614e-06  2.07959526e-02 -2.52750831e-13 
 2.10000000e-05 -4.18818136e-12 -2.49440091e-06  2.07959544e-02 -2.51391610e-13 
 2.20000000e-05 -4.18813208e-12 -2.47926091e-06  2.07959564e-02 -2.49862318e-13 
