 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00 -1.57236850e-12 -2.59866527e-06  2.07959406e-02 -2.62113829e-13 
 1.00000000e-06 -1.57236827e-12 -2.59850975e-06  2.07959406e-02 -2.62098151e-13 
 2.00000000e-06 -1.57236735e-12 -2.59804664e-06  2.07959406e-02 -2.62051577e-13 
 3.00000000e-06 -1.57236564e-12 -2.59726881e-06  2.07959407e-02 -2.61972582e-13 
 4.00000000e-06 -1.57236310e-12 -2.59616839e-06  2.07959409e-02 -2.61861526e-13 
 5.00000000e-06 -1.57235963e-12 -2.59473362e-06  2.07959411e-02 -2.61717056e-13 
 6.00000000e-06 -1.57235517e-12 -2.59294835e-06  2.07959413e-02 -2.61536854e-13 
 7.00000000e-06 -1.57234960e-12 -2.59079163e-06  2.07959416e-02 -2.61319271e-13 
 8.00000000e-06 -1.57234282e-12 -2.58823746e-06  2.07959419e-02 -2.61061171e-13 
 9.00000000e-06 -1.57233469e-12 -2.58525433e-06  2.07959423e-02 -2.60759809e-13 
 1.00000000e-05 -1.57232510e-12 -2.58180482e-06  2.07959428e-02 -2.60411649e-13 
 1.10000000e-05 -1.57231384e-12 -2.57784510e-06  2.07959433e-02 -2.60011470e-13 
 1.20000000e-05 -1.57230074e-12 -2.57332429e-06  2.07959439e-02 -2.59554550e-13 
 1.30000000e-05 -1.57228559e-12 -2.56818377e-06  2.07959446e-02 -2.59035936e-13 
 1.40000000e-05 -1.57226814e-12 -2.56235637e-06  2.07959454e-02 -2.58446971e-13 
 1.50000000e-05 -1.57224813e-12 -2.55576544e-06  2.07959463e-02 -2.57781383e-13 
 1.60000000e-05 -1.57222524e-12 -2.54832382e-06  2.07959473e-02 -2.57029687e-13 
 1.70000000e-05 -1.57219914e-12 -2.53993259e-06  2.07959484e-02 -2.56182959e-13 
 1.80000000e-05 -1.57216943e-12 -2.53047974e-06  2.07959496e-02 -2.55228364e-13 
 1.90000000e-05 -1.57213568e-12 -2.51983861e-06  2.07959510e-02 -2.54153647e-13 
 2.00000000e-05 -1.57209738e-12 -2.50786614e-06  2.07959526e-02 -2.52944356e-13 
 2.10000000e-05 -1.57205398e-12 -2.49440091e-06  2.07959544e-02 -2.51584557e-13 
 2.20000000e-05 -1.57200486e-12 -2.47926091e-06  2.07959564e-02 -2.50055807e-13 
