 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  1.19999998e+01 -7.00313214e-07  5.18776596e-05 -4.10731170e-07 
 1.00000000e-06  1.19615490e+01  2.15862416e-02  2.35888608e-02 -1.18383445e+00 
 2.00000000e-06  1.19322092e+01  6.62711310e-02  2.95140871e-02 -2.35174111e+00 
 3.00000000e-06  1.19015494e+01  1.18711381e-01  3.64731575e-02 -3.50304060e+00 
 4.00000000e-06  1.18695618e+01  1.73537427e-01  4.34569426e-02 -4.63716824e+00 
 5.00000000e-06  1.18362760e+01  2.28695732e-01  4.86397724e-02 -5.75402139e+00 
 6.00000000e-06  1.18017180e+01  2.83464045e-01  5.13277127e-02 -6.85362161e+00 
 7.00000000e-06  1.17659122e+01  3.37590628e-01  5.28407707e-02 -7.93603400e+00 
 8.00000000e-06  1.17288827e+01  3.90989151e-01  5.38445814e-02 -9.00133888e+00 
 9.00000000e-06  1.16906531e+01  4.43631424e-01  5.45824118e-02 -1.00496221e+01 
 1.00000000e-05  1.16512469e+01  4.95509705e-01  5.51603738e-02 -1.10809720e+01 
 1.10000000e-05  1.16106875e+01  5.46623459e-01  5.56326544e-02 -1.20954780e+01 
 1.20000000e-05  1.15689980e+01  5.96974708e-01  5.60302532e-02 -1.30932306e+01 
 1.30000000e-05  1.15262014e+01  6.46566409e-01  5.63724327e-02 -1.40743215e+01 
 1.40000000e-05  1.14823207e+01  6.95401875e-01  5.66719290e-02 -1.50388431e+01 
 1.50000000e-05  1.14373784e+01  7.43484582e-01  5.69375786e-02 -1.59868890e+01 
 1.60000000e-05  1.13913972e+01  7.90818098e-01  5.71757520e-02 -1.69185537e+01 
 1.70000000e-05  1.13443993e+01  8.37406059e-01  5.73911873e-02 -1.78339328e+01 
 1.80000000e-05  1.12964071e+01  8.83252159e-01  5.75875008e-02 -1.87331227e+01 
 1.90000000e-05  1.12474424e+01  9.28360153e-01  5.77675132e-02 -1.96162212e+01 
 2.00000000e-05  1.11975272e+01  9.72733847e-01  5.79334659e-02 -2.04833267e+01 
 2.10000000e-05  1.11466832e+01  1.01637710e+00  5.80871687e-02 -2.13345387e+01 
 2.20000000e-05  1.10949318e+01  1.05929384e+00  5.82301034e-02 -2.21699579e+01 
 2.30000000e-05  1.10422944e+01  1.10148803e+00  5.83634980e-02 -2.29896855e+01 
 2.40000000e-05  1.09887922e+01  1.14296368e+00  5.84883818e-02 -2.37938240e+01 
 2.50000000e-05  1.09344462e+01  1.18372488e+00  5.86056253e-02 -2.45824765e+01 
 2.60000000e-05  1.08792771e+01  1.22377574e+00  5.87159715e-02 -2.53557472e+01 
 2.70000000e-05  1.08233057e+01  1.26312042e+00  5.88200595e-02 -2.61137409e+01 
 2.80000000e-05  1.07665523e+01  1.30176316e+00  5.89184428e-02 -2.68565635e+01 
 2.90000000e-05  1.07090373e+01  1.33970821e+00  5.90116041e-02 -2.75843215e+01 
 3.00000000e-05  1.06507808e+01  1.37695988e+00  5.90999666e-02 -2.82971222e+01 
 3.10000000e-05  1.05918027e+01  1.41352253e+00  5.91839037e-02 -2.89950736e+01 
 3.20000000e-05  1.05321227e+01  1.44940054e+00  5.92637460e-02 -2.96782845e+01 
 3.30000000e-05  1.04717605e+01  1.48459836e+00  5.93397881e-02 -3.03468644e+01 
 3.40000000e-05  1.04107354e+01  1.51912046e+00  5.94122931e-02 -3.10009233e+01 
 3.50000000e-05  1.03490666e+01  1.55297135e+00  5.94814976e-02 -3.16405720e+01 
 3.60000000e-05  1.02867732e+01  1.58615560e+00  5.95476144e-02 -3.22659219e+01 
 3.70000000e-05  1.02238740e+01  1.61867779e+00  5.96108361e-02 -3.28770850e+01 
 3.80000000e-05  1.01603876e+01  1.65054255e+00  5.96713373e-02 -3.34741736e+01 
 3.90000000e-05  1.00963326e+01  1.68175454e+00  5.97292769e-02 -3.40573010e+01 
 4.00000000e-05  1.00317273e+01  1.71231844e+00  5.97847999e-02 -3.46265806e+01 
 4.10000000e-05  9.96658972e+00  1.74223900e+00  5.98380389e-02 -3.51821265e+01 
 4.20000000e-05  9.90093789e+00  1.77152095e+00  5.98891156e-02 -3.57240533e+01 
 4.30000000e-05  9.83478953e+00  1.80016909e+00  5.99381417e-02 -3.62524758e+01 
 4.40000000e-05  9.76816222e+00  1.82818823e+00  5.99852203e-02 -3.67675095e+01 
 4.50000000e-05  9.70107335e+00  1.85558322e+00  6.00304466e-02 -3.72692700e+01 
 4.60000000e-05  9.63354013e+00  1.88235891e+00  6.00739086e-02 -3.77578736e+01 
 4.70000000e-05  9.56557960e+00  1.90852020e+00  6.01156880e-02 -3.82334367e+01 
 4.80000000e-05  9.49720858e+00  1.93407201e+00  6.01558606e-02 -3.86960762e+01 
 4.90000000e-05  9.42844374e+00  1.95901928e+00  6.01944968e-02 -3.91459090e+01 
 5.00000000e-05  9.35930156e+00  1.98336696e+00  6.02316626e-02 -3.95830526e+01 
 5.10000000e-05  9.28979835e+00  2.00712004e+00  6.02674191e-02 -4.00076247e+01 
 5.20000000e-05  9.21995020e+00  2.03028352e+00  6.03018239e-02 -4.04197430e+01 
 5.30000000e-05  9.14977305e+00  2.05286242e+00  6.03349305e-02 -4.08195258e+01 
 5.40000000e-05  9.07928266e+00  2.07486177e+00  6.03667894e-02 -4.12070912e+01 
 5.50000000e-05  9.00849459e+00  2.09628663e+00  6.03974478e-02 -4.15825576e+01 
 5.60000000e-05  8.93742423e+00  2.11714207e+00  6.04269501e-02 -4.19460438e+01 
 5.70000000e-05  8.86608679e+00  2.13743316e+00  6.04553383e-02 -4.22976683e+01 
 5.80000000e-05  8.79449728e+00  2.15716502e+00  6.04826516e-02 -4.26375501e+01 
 5.90000000e-05  8.72267056e+00  2.17634274e+00  6.05089272e-02 -4.29658081e+01 
 6.00000000e-05  8.65062129e+00  2.19497144e+00  6.05342003e-02 -4.32825612e+01 
 6.10000000e-05  8.57836394e+00  2.21305627e+00  6.05585039e-02 -4.35879285e+01 
 6.20000000e-05  8.50591284e+00  2.23060235e+00  6.05818696e-02 -4.38820290e+01 
 6.30000000e-05  8.43328209e+00  2.24761484e+00  6.06043270e-02 -4.41649818e+01 
 6.40000000e-05  8.36048566e+00  2.26409889e+00  6.06259043e-02 -4.44369061e+01 
 6.50000000e-05  8.28753730e+00  2.28005967e+00  6.06466283e-02 -4.46979208e+01 
 6.60000000e-05  8.21445061e+00  2.29550235e+00  6.06665243e-02 -4.49481449e+01 
 6.70000000e-05  8.14123900e+00  2.31043210e+00  6.06856165e-02 -4.51876975e+01 
 6.80000000e-05  8.06791570e+00  2.32485411e+00  6.07039279e-02 -4.54166973e+01 
 6.90000000e-05  7.99449379e+00  2.33877355e+00  6.07214803e-02 -4.56352631e+01 
 7.00000000e-05  7.92098613e+00  2.35219560e+00  6.07382946e-02 -4.58435136e+01 
 7.10000000e-05  7.84740577e+00  2.36512871e+00  6.07543952e-02 -4.60416344e+01 
 7.20000000e-05  7.77376441e+00  2.37757104e+00  6.07697910e-02 -4.62295988e+01 
 7.30000000e-05  7.70007503e+00  2.38953204e+00  6.07845063e-02 -4.64076132e+01 
 7.40000000e-05  7.62634970e+00  2.40101640e+00  6.07985576e-02 -4.65757855e+01 
 7.50000000e-05  7.55260044e+00  2.41202932e+00  6.08119615e-02 -4.67342335e+01 
 7.60000000e-05  7.47883909e+00  2.42257596e+00  6.08247337e-02 -4.68830747e+01 
 7.70000000e-05  7.40507731e+00  2.43266152e+00  6.08368894e-02 -4.70224268e+01 
 7.80000000e-05  7.33132662e+00  2.44229116e+00  6.08484430e-02 -4.71524067e+01 
 7.90000000e-05  7.25759834e+00  2.45147006e+00  6.08594084e-02 -4.72731314e+01 
 8.00000000e-05  7.18390363e+00  2.46020337e+00  6.08697990e-02 -4.73847176e+01 
