 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  5.10499956e+00 -3.66748881e-07  4.12063282e-05 -6.03707454e-07 
 1.00000000e-06  5.07300814e+00  9.13014786e-03  2.99816780e-02 -4.97663731e-01 
 2.00000000e-06  5.05967398e+00  2.81264093e-02  3.37347854e-02 -9.87988238e-01 
 3.00000000e-06  5.04583578e+00  5.05130553e-02  3.81417763e-02 -1.47113689e+00 
 4.00000000e-06  5.03144849e+00  7.39863792e-02  4.25554319e-02 -1.94689041e+00 
 5.00000000e-06  5.01652537e+00  9.76488957e-02  4.62492351e-02 -2.41521470e+00 
 6.00000000e-06  5.00107747e+00  1.21178425e-01  4.87426770e-02 -2.87612487e+00 
 7.00000000e-06  4.98511531e+00  1.44460174e-01  5.03372742e-02 -3.32965302e+00 
 8.00000000e-06  4.96864917e+00  1.67453719e-01  5.14300856e-02 -3.77583679e+00 
 9.00000000e-06  4.95168924e+00  1.90145282e-01  5.22374481e-02 -4.21471549e+00 
 1.00000000e-05  4.93424561e+00  2.12530631e-01  5.28683901e-02 -4.64632898e+00 
 1.10000000e-05  4.91632834e+00  2.34608957e-01  5.33817899e-02 -5.07071730e+00 
 1.20000000e-05  4.89794738e+00  2.56380677e-01  5.38121044e-02 -5.48792070e+00 
 1.30000000e-05  4.87911264e+00  2.77846661e-01  5.41809320e-02 -5.89797962e+00 
 1.40000000e-05  4.85983396e+00  2.99007948e-01  5.45025868e-02 -6.30093482e+00 
 1.50000000e-05  4.84012110e+00  3.19865653e-01  5.47869927e-02 -6.69682735e+00 
 1.60000000e-05  4.81998374e+00  3.40420930e-01  5.50412880e-02 -7.08569866e+00 
 1.70000000e-05  4.79943152e+00  3.60674965e-01  5.52707657e-02 -7.46759055e+00 
 1.80000000e-05  4.77847397e+00  3.80628969e-01  5.54794525e-02 -7.84254522e+00 
 1.90000000e-05  4.75712057e+00  4.00284180e-01  5.56704786e-02 -8.21060528e+00 
 2.00000000e-05  4.73538071e+00  4.19641861e-01  5.58463228e-02 -8.57181375e+00 
 2.10000000e-05  4.71326371e+00  4.38703300e-01  5.60089804e-02 -8.92621405e+00 
 2.20000000e-05  4.69077880e+00  4.57469811e-01  5.61600796e-02 -9.27385002e+00 
 2.30000000e-05  4.66793517e+00  4.75942734e-01  5.63009663e-02 -9.61476588e+00 
 2.40000000e-05  4.64474190e+00  4.94123436e-01  5.64327648e-02 -9.94900627e+00 
 2.50000000e-05  4.62120800e+00  5.12013306e-01  5.65564239e-02 -1.02766162e+01 
 2.60000000e-05  4.59734239e+00  5.29613760e-01  5.66727513e-02 -1.05976411e+01 
 2.70000000e-05  4.57315395e+00  5.46926238e-01  5.67824400e-02 -1.09121266e+01 
 2.80000000e-05  4.54865144e+00  5.63952204e-01  5.68860890e-02 -1.12201190e+01 
 2.90000000e-05  4.52384355e+00  5.80693147e-01  5.69842195e-02 -1.15216647e+01 
 3.00000000e-05  4.49873892e+00  5.97150577e-01  5.70772875e-02 -1.18168106e+01 
