flasher_only_f50_line0.9_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line0.9_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line0.9_esr0.02_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line0.9_esr0.02_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line0.9_esr0.05_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.05_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.05_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.05_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.1_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.1_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.1_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line0.9_esr0.1_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line1.1_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.02_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.02_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.05_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.05_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.05_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.05_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f50_line1.1_esr0.1_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line1.1_esr0.1_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line1.1_esr0.1_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f50_line1.1_esr0.1_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f60_line0.9_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f60_line0.9_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f60_line0.9_esr0.02_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f60_line0.9_esr0.02_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': False}
flasher_only_f60_line0.9_esr0.05_imb0_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f60_line0.9_esr0.05_imb0_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f60_line0.9_esr0.05_imb1_phase0 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
flasher_only_f60_line0.9_esr0.05_imb1_phase90 {'headroom': True, 'capacitor_ripple': True, 'secondary_below_5A_fuse_rating': True}
