 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199999975574e+01 -7.003132139972e-07  5.187765956654e-05 -4.107311702199e-07 
 1.000000000000e-06  1.196154899938e+01  2.158624155424e-02  2.358886080839e-02 -1.183834451690e+00 
 2.000000000000e-06  1.193220917679e+01  6.627113100744e-02  2.951408708034e-02 -2.351741113818e+00 
 3.000000000000e-06  1.190154939177e+01  1.187113811357e-01  3.647315752171e-02 -3.503040598646e+00 
 4.000000000000e-06  1.186956175010e+01  1.735374274998e-01  4.345694257907e-02 -4.637168236238e+00 
 5.000000000000e-06  1.183627600444e+01  2.286957317581e-01  4.863977244131e-02 -5.754021386171e+00 
 6.000000000000e-06  1.180171799458e+01  2.834640451115e-01  5.132771267887e-02 -6.853621611338e+00 
 7.000000000000e-06  1.176591223512e+01  3.375906278508e-01  5.284077068479e-02 -7.936034000559e+00 
 8.000000000000e-06  1.172888270157e+01  3.909891507622e-01  5.384458138148e-02 -9.001338881589e+00 
 9.000000000000e-06  1.169065308901e+01  4.436314241997e-01  5.458241179989e-02 -1.004962213847e+01 
 1.000000000000e-05  1.165124689882e+01  4.955097053489e-01  5.516037380797e-02 -1.108097198783e+01 
 1.100000000000e-05  1.161068746575e+01  5.466234586703e-01  5.563265439079e-02 -1.209547796127e+01 
 1.200000000000e-05  1.156899796484e+01  5.969747084280e-01  5.603025323871e-02 -1.309323062086e+01 
 1.300000000000e-05  1.152620141185e+01  6.465664091284e-01  5.637243272774e-02 -1.407432150436e+01 
 1.400000000000e-05  1.148232066189e+01  6.954018752707e-01  5.667192901435e-02 -1.503884313295e+01 
 1.500000000000e-05  1.143737840758e+01  7.434845824491e-01  5.693757862243e-02 -1.598688902840e+01 
 1.600000000000e-05  1.139139717722e+01  7.908180983130e-01  5.717575202245e-02 -1.691855372493e+01 
 1.700000000000e-05  1.134439933322e+01  8.374060587072e-01  5.739118732392e-02 -1.783393277324e+01 
 1.800000000000e-05  1.129640707062e+01  8.832521593694e-01  5.758750080313e-02 -1.873312273731e+01 
 1.900000000000e-05  1.124744241578e+01  9.283601528648e-01  5.776751319989e-02 -1.961622118551e+01 
 2.000000000000e-05  1.119752722515e+01  9.727338471942e-01  5.793346591351e-02 -2.048332667746e+01 
 2.100000000000e-05  1.114668318419e+01  1.016377104868e+00  5.808716871394e-02 -2.133453874750e+01 
 2.200000000000e-05  1.109493180635e+01  1.059293842051e+00  5.823010337019e-02 -2.216995788584e+01 
 2.300000000000e-05  1.104229443210e+01  1.101488027671e+00  5.836349804811e-02 -2.298968551771e+01 
 2.400000000000e-05  1.098879222807e+01  1.142963682450e+00  5.848838181591e-02 -2.379382398129e+01 
 2.500000000000e-05  1.093444618619e+01  1.183724877883e+00  5.860562529935e-02 -2.458247650445e+01 
 2.600000000000e-05  1.087927712298e+01  1.223775735162e+00  5.871597149527e-02 -2.535574718079e+01 
 2.700000000000e-05  1.082330567875e+01  1.263120424060e+00  5.882005946301e-02 -2.611374094510e+01 
 2.800000000000e-05  1.076655231696e+01  1.301763161783e+00  5.891844277805e-02 -2.685656354838e+01 
 2.900000000000e-05  1.070903732363e+01  1.339708211804e+00  5.901160407445e-02 -2.758432153259e+01 
 3.000000000000e-05  1.065078080665e+01  1.376959882674e+00  5.909996662973e-02 -2.829712220520e+01 
 3.100000000000e-05  1.059180269535e+01  1.413522526828e+00  5.918390368279e-02 -2.899507361362e+01 
 3.200000000000e-05  1.053212273988e+01  1.449400539380e+00  5.926374599712e-02 -2.967828451961e+01 
 3.300000000000e-05  1.047176051083e+01  1.484598356913e+00  5.933978805020e-02 -3.034686437365e+01 
 3.400000000000e-05  1.041073539874e+01  1.519120456271e+00  5.941229313777e-02 -3.100092328941e+01 
 3.500000000000e-05  1.034906661373e+01  1.552971353348e+00  5.948149761267e-02 -3.164057201829e+01 
 3.600000000000e-05  1.028677318511e+01  1.586155601884e+00  5.954761442881e-02 -3.226592192404e+01 
 3.700000000000e-05  1.022387396111e+01  1.618677792257e+00  5.961083612212e-02 -3.287708495756e+01 
 3.800000000000e-05  1.016038760851e+01  1.650542550291e+00  5.967133733210e-02 -3.347417363182e+01 
 3.900000000000e-05  1.009633261244e+01  1.681754536058e+00  5.972927694664e-02 -3.405730099702e+01 
 4.000000000000e-05  1.003172727616e+01  1.712318442699e+00  5.978479993542e-02 -3.462658061583e+01 
 4.100000000000e-05  9.966589720791e+00  1.742238995243e+00  5.983803892464e-02 -3.518212653899e+01 
 4.200000000000e-05  9.900937885249e+00  1.771520949441e+00  5.988911555521e-02 -3.572405328095e+01 
 4.300000000000e-05  9.834789526052e+00  1.800169090605e+00  5.993814165976e-02 -3.625247579586e+01 
 4.400000000000e-05  9.768162217237e+00  1.828188232458e+00  5.998522028622e-02 -3.676750945373e+01 
 4.500000000000e-05  9.701073350294e+00  1.855583215994e+00  6.003044659133e-02 -3.726927001686e+01 
 4.600000000000e-05  9.633540134121e+00  1.882358908346e+00  6.007390862374e-02 -3.775787361647e+01 
 4.700000000000e-05  9.565579595017e+00  1.908520201669e+00  6.011568801225e-02 -3.823343672962e+01 
 4.800000000000e-05  9.497208576699e+00  1.934072012028e+00  6.015586057288e-02 -3.869607615632e+01 
 4.900000000000e-05  9.428443740344e+00  1.959019278300e+00  6.019449684601e-02 -3.914590899700e+01 
