native_f50_line0.9_esr0.02_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.02_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.02_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.02_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.05_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.05_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.05_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.05_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.1_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.1_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.1_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f50_line0.9_esr0.1_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f50_line1.1_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.02_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.02_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.05_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.05_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.05_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.05_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.1_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.1_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.1_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f50_line1.1_esr0.1_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f60_line0.9_esr0.02_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.02_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.02_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.02_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.05_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.05_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.05_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.05_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.1_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.1_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.1_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
native_f60_line0.9_esr0.1_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
native_f60_line1.1_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.02_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.02_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.05_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.05_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.05_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.05_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.1_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.1_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.1_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
native_f60_line1.1_esr0.1_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line0.9_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line0.9_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line0.9_esr0.02_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.02_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.05_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.05_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.05_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.05_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.1_imb0_phase0 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.1_imb0_phase90 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.1_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
added_f50_line0.9_esr0.1_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
added_f50_line1.1_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.02_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.02_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.05_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.05_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.05_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.05_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.1_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.1_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.1_imb1_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f50_line1.1_esr0.1_imb1_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f60_line0.9_esr0.02_imb0_phase0 {'headroom': True, 'capacitor_ripple': True}
added_f60_line0.9_esr0.02_imb0_phase90 {'headroom': True, 'capacitor_ripple': True}
added_f60_line0.9_esr0.02_imb1_phase0 {'headroom': False, 'capacitor_ripple': True}
added_f60_line0.9_esr0.02_imb1_phase90 {'headroom': False, 'capacitor_ripple': True}
