 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  5.104672395028e+00  7.146267486272e-04 -3.777332433448e-05 -4.553610180219e-06 
 1.000000000000e-06  4.206976668276e+00  1.997214321458e-05  6.680971590079e-01 -1.599775135637e-01 
 2.000000000000e-06  4.694157651485e+00  6.459868242038e-06  8.351277699573e-01 -2.292494494602e-01 
 3.000000000000e-06  4.855942690946e+00  2.418401781948e-06  8.965947402701e-01 -2.753328511358e-01 
 4.000000000000e-06  4.906926557012e+00  1.146884931898e-06  9.199081646314e-01 -3.113678500437e-01 
 5.000000000000e-06  4.922781130210e+00  7.176718525466e-07  9.308690860975e-01 -3.422249070896e-01 
 6.000000000000e-06  4.926924678390e+00  5.680227415473e-07  9.374845823907e-01 -3.695426393153e-01 
 7.000000000000e-06  4.927046501049e+00  5.160197289501e-07  9.425689984876e-01 -3.939683428618e-01 
 8.000000000000e-06  4.925649331305e+00  5.013152198823e-07  9.471439883456e-01 -4.157353920224e-01 
 9.000000000000e-06  4.923635962649e+00  5.014097514432e-07  9.516080131560e-01 -4.349043044624e-01 
 1.000000000000e-05  4.921375046591e+00  5.069483452735e-07  9.561166889790e-01 -4.514656828369e-01 
 1.100000000000e-05  4.919029457572e+00  5.138396330231e-07  9.607221970076e-01 -4.653872153032e-01 
 1.200000000000e-05  4.916673384964e+00  5.202959688190e-07  9.654312427002e-01 -4.766349831383e-01 
 1.300000000000e-05  4.914341288790e+00  5.255584212280e-07  9.702307096574e-01 -4.851827532515e-01 
 1.400000000000e-05  4.912049983459e+00  5.293203670842e-07  9.750990726376e-01 -4.910158388166e-01 
 1.500000000000e-05  4.909808596219e+00  5.314702772798e-07  9.800113839331e-01 -4.941325969451e-01 
 1.600000000000e-05  4.907622907401e+00  5.319808823084e-07  9.849414246186e-01 -4.945449176532e-01 
 1.700000000000e-05  4.905497162957e+00  5.308630978203e-07  9.898626502529e-01 -4.922782724385e-01 
 1.800000000000e-05  4.903434799224e+00  5.281473687069e-07  9.947486418213e-01 -4.873715520382e-01 
 1.900000000000e-05  4.901438719699e+00  5.238761594029e-07  9.995733588526e-01 -4.798767841965e-01 
 2.000000000000e-05  4.899511394623e+00  5.181008229457e-07  1.004311313930e+00 -4.698587677586e-01 
 2.100000000000e-05  4.897654893240e+00  5.108801448774e-07  1.008937714763e+00 -4.573946387746e-01 
 2.200000000000e-05  4.895870891835e+00  5.022795171190e-07  1.013428591064e+00 -4.425733768329e-01 
 2.300000000000e-05  4.894160673987e+00  4.923703494697e-07  1.017760912335e+00 -4.254952573946e-01 
 2.400000000000e-05  4.892525129150e+00  4.812295757444e-07  1.021912698528e+00 -4.062712553899e-01 
 2.500000000000e-05  4.890964751807e+00  4.689392048363e-07  1.025863124024e+00 -3.850224056554e-01 
 2.600000000000e-05  4.889479641979e+00  4.555858997010e-07  1.029592614860e+00 -3.618791266178e-01 
