 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 1.000000000000e-06  8.601146560769e+00  5.451888268706e+00  7.457851970623e-01 -4.209450905361e-01 
 2.000000000000e-06  8.818381877556e+00  5.909158945873e+00  8.092242048185e-01 -7.081970561602e-01 
 3.000000000000e-06  8.733390939484e+00  5.897255687070e+00  8.079900049020e-01 -9.799612621531e-01 
 4.000000000000e-06  8.605676159083e+00  5.817126952289e+00  7.973448575987e-01 -1.243859942306e+00 
 5.000000000000e-06  8.475031825881e+00  5.730501820229e+00  7.857977850341e-01 -1.501194645269e+00 
 6.000000000000e-06  8.345997993689e+00  5.644450613821e+00  7.743234759021e-01 -1.752231465571e+00 
 7.000000000000e-06  8.219024875780e+00  5.559702912147e+00  7.630225978821e-01 -1.997111781637e+00 
 8.000000000000e-06  8.094128150050e+00  5.476314046575e+00  7.519028776346e-01 -2.235960149704e+00 
 9.000000000000e-06  7.971279158498e+00  5.394270081883e+00  7.409624924728e-01 -2.468896432982e+00 
 1.000000000000e-05  7.850445209156e+00  5.313550320814e+00  7.301986860983e-01 -2.696037427429e+00 
 1.100000000000e-05  7.731593679749e+00  5.234133680079e+00  7.196086474908e-01 -2.917497272369e+00 
 1.200000000000e-05  7.614692426340e+00  5.155999334892e+00  7.091895997685e-01 -3.133387663272e+00 
 1.300000000000e-05  7.499709816948e+00  5.079126780805e+00  6.989388087298e-01 -3.343817999545e+00 
 1.400000000000e-05  7.386614727352e+00  5.003495836154e+00  6.888535832099e-01 -3.548895497086e+00 
 1.500000000000e-05  7.275376533249e+00  4.929086638309e+00  6.789312745848e-01 -3.748725278223e+00 
 1.600000000000e-05  7.165965102190e+00  4.855879639201e+00  6.691692761749e-01 -3.943410446226e+00 
 1.700000000000e-05  7.058350785639e+00  4.783855600726e+00  6.595650226334e-01 -4.133052148945e+00 
 1.800000000000e-05  6.952504411174e+00  4.712995590131e+00  6.501159893297e-01 -4.317749634512e+00 
 1.900000000000e-05  6.848397274830e+00  4.643280975397e+00  6.408196917355e-01 -4.497600301142e+00 
 2.000000000000e-05  6.746001133572e+00  4.574693420655e+00  6.316736848126e-01 -4.672699742396e+00 
 2.100000000000e-05  6.645288197898e+00  4.507214881633e+00  6.226755624061e-01 -4.843141788915e+00 
